date,open,high,low,close,volume,empty
2025-08-18T00:00:00+0530,117.85,117.9,108.4,112.85,39087,0
2025-08-19T00:00:00+0530,112.9,113.8,112.1,113.1,41473,0
2025-08-20T00:00:00+0530,113.75,115.6,113.55,115,56421,0
2025-08-21T00:00:00+0530,114.95,115.6,114,115.55,22007,0
2025-08-22T00:00:00+0530,114.85,116,113.2,115.8,27239,0
2025-08-25T00:00:00+0530,115.55,117.8,115.05,116.8,44696,0
2025-08-26T00:00:00+0530,116.75,116.75,113.2,114.3,3697,0
2025-08-28T00:00:00+0530,113.5,115.85,112.45,112.65,14200,0
2025-08-29T00:00:00+0530,112.85,113.65,111.05,112.4,6173,0
2025-09-01T00:00:00+0530,112.85,113.6,112.05,113.4,12704,0
2025-09-02T00:00:00+0530,113,116,112,115.65,26369,0
2025-09-03T00:00:00+0530,115.85,132.7,115.85,129.95,242648,0
2025-09-04T00:00:00+0530,129.95,132,128.9,130.05,29551,0
2025-09-05T00:00:00+0530,129.95,134,129.95,132.75,54550,0
