date,open,high,low,close,volume,empty
2024-06-28T00:00:00+0530,494.95,509.4,470.2,474.75,21611175,0
2024-07-01T00:00:00+0530,485.1,518.7,485.1,505.65,5809841,0
2024-07-02T00:00:00+0530,507.45,509.5,484.6,486.65,1212747,0
2024-07-03T00:00:00+0530,496,500,489,498,956128,0
2024-07-04T00:00:00+0530,502.25,502.4,486,488.1,886348,0
2024-07-05T00:00:00+0530,488.65,494.25,485.05,487.15,487401,0
2024-07-08T00:00:00+0530,513,543.9,505.5,538.5,3702850,0
2024-07-09T00:00:00+0530,544.45,553.3,530.2,540.25,1248327,0
2024-07-10T00:00:00+0530,538.95,545,511,531.8,855804,0
2024-07-11T00:00:00+0530,534.9,603,534.9,576.15,2959787,0
2024-07-12T00:00:00+0530,583,627.5,581.9,590.05,1866494,0
2024-07-15T00:00:00+0530,598,602.95,580,581.45,519352,0
2024-07-16T00:00:00+0530,584.7,599.7,581.3,592.85,475636,0
2024-07-18T00:00:00+0530,593,598.6,580.6,582.3,283758,0
2024-07-19T00:00:00+0530,580.1,582,555,557.95,577828,0
2024-07-22T00:00:00+0530,565,595,556.35,587.1,925146,0
2024-07-23T00:00:00+0530,589,592.45,535.1,573,578478,0
2024-07-24T00:00:00+0530,578.7,607.6,571,595.85,621067,0
2024-07-25T00:00:00+0530,584.05,597.25,580,581.85,252944,0
2024-07-26T00:00:00+0530,587.9,592,569,575.6,470391,0
2024-07-29T00:00:00+0530,580.05,597.95,577,582.8,386994,0
2024-07-30T00:00:00+0530,584.95,588.05,575.2,577,159338,0
2024-07-31T00:00:00+0530,582.4,624.3,582.4,607.35,1861692,0
2024-08-01T00:00:00+0530,621,623,591.25,593.85,381164,0
2024-08-02T00:00:00+0530,581.7,596.7,578.1,587.95,210271,0
2024-08-05T00:00:00+0530,550,572.8,547.05,553.75,473897,0
2024-08-06T00:00:00+0530,564,571.85,540,542.6,280916,0
2024-08-07T00:00:00+0530,564.9,567.4,547.75,559.25,174810,0
2024-08-08T00:00:00+0530,556,566.9,553,555,131957,0
2024-08-09T00:00:00+0530,561.15,573,560,562.65,167167,0
2024-08-12T00:00:00+0530,564.65,566,551.3,553.05,161624,0
2024-08-13T00:00:00+0530,555,560,535.5,538.3,198958,0
2024-08-14T00:00:00+0530,545,545,525,530.95,182564,0
2024-08-16T00:00:00+0530,528,534.4,517.95,524.25,237784,0
2024-08-19T00:00:00+0530,526.9,536.6,523,526.2,188988,0
2024-08-20T00:00:00+0530,533.5,537,519.2,530.65,195719,0
2024-08-21T00:00:00+0530,531,536.7,530.1,533.6,103453,0
2024-08-22T00:00:00+0530,536.4,546.3,530.1,532.75,238605,0
2024-08-23T00:00:00+0530,532.35,536.1,527.8,529.8,101184,0
2024-08-26T00:00:00+0530,534.95,538.45,527,527.5,130961,0
2024-08-27T00:00:00+0530,531,531,522,525.45,109774,0
2024-08-28T00:00:00+0530,525.1,530.95,515,516.3,227552,0
2024-08-29T00:00:00+0530,517,523.25,504,506.55,233199,0
2024-08-30T00:00:00+0530,512,529.9,506.6,510.75,263161,0
2024-09-02T00:00:00+0530,520.75,532,512.5,518.6,222495,0
2024-09-03T00:00:00+0530,517.05,519.4,507,508.45,91111,0
2024-09-04T00:00:00+0530,505,520.25,501.2,514.4,152066,0
2024-09-05T00:00:00+0530,515,518.2,508.05,509.4,69146,0
2024-09-06T00:00:00+0530,510.7,513.45,495.35,497.95,194803,0
2024-09-09T00:00:00+0530,497.4,497.5,486.75,489.2,121357,0
2024-09-10T00:00:00+0530,490.45,505.75,490.45,499.35,134020,0
2024-09-11T00:00:00+0530,499,502.9,491,491.75,74497,0
2024-09-12T00:00:00+0530,495,517.95,495,509.3,210507,0
2024-09-13T00:00:00+0530,520,521.7,508.75,510.85,134021,0
2024-09-16T00:00:00+0530,511.25,513.95,496,500.35,74016,0
2024-09-17T00:00:00+0530,496,508.95,495,496.4,71445,0
2024-09-18T00:00:00+0530,500.95,511.45,491,492.05,97489,0
2024-09-19T00:00:00+0530,496.8,498.5,486.95,492.65,110077,0
2024-09-20T00:00:00+0530,495,499.4,486.5,490.8,101581,0
2024-09-23T00:00:00+0530,495.05,499,490.05,493.6,77851,0
2024-09-24T00:00:00+0530,491,497,484,484.9,260541,0
2024-09-25T00:00:00+0530,484.9,489,483.3,484.4,69164,0
2024-09-26T00:00:00+0530,489.4,489.4,477,478,86203,0
2024-09-27T00:00:00+0530,483.35,489,478.85,486.8,156809,0
2024-09-30T00:00:00+0530,487,489.95,482.3,485.5,84579,0
2024-10-01T00:00:00+0530,484.25,498,484.25,487.5,69548,0
2024-10-03T00:00:00+0530,477.4,484,474.95,476.25,92871,0
2024-10-04T00:00:00+0530,476.25,487.35,464.1,472.05,93281,0
2024-10-07T00:00:00+0530,477,477,453.25,455.25,121804,0
2024-10-08T00:00:00+0530,440,455,439.2,450.7,181940,0
2024-10-09T00:00:00+0530,458.4,480,458.4,476.15,126111,0
2024-10-10T00:00:00+0530,479.75,485.2,472.95,479.55,73716,0
2024-10-11T00:00:00+0530,480.2,484.8,464.1,467.85,132074,0
2024-10-14T00:00:00+0530,471,482.45,471,475.4,68464,0
2024-10-15T00:00:00+0530,478.2,479.85,476.7,478.45,52929,0
2024-10-16T00:00:00+0530,478.5,500,478.5,492.95,119953,0
2024-10-17T00:00:00+0530,497.9,498.2,475.05,477.25,57189,0
2024-10-18T00:00:00+0530,473,488.45,465.05,486.5,68233,0
2024-10-21T00:00:00+0530,486.5,519.4,472.25,502.45,604350,0
2024-10-22T00:00:00+0530,507.8,518.65,477.35,480.7,228372,0
2024-10-23T00:00:00+0530,487.9,495,478.5,488.6,156497,0
2024-10-24T00:00:00+0530,491.65,493.7,480.1,487.15,75664,0
2024-10-25T00:00:00+0530,486.95,486.95,467,471.35,89900,0
2024-10-28T00:00:00+0530,474.95,474.95,462.55,465.75,91689,0
2024-10-29T00:00:00+0530,466.15,470.85,461.3,467.1,78621,0
2024-10-30T00:00:00+0530,467,483.8,467,480.05,57972,0
2024-10-31T00:00:00+0530,479,498,473.8,478.9,135452,0
2024-11-01T00:00:00+0530,485.05,495,484.95,491.55,34344,0
2024-11-04T00:00:00+0530,490.6,491.5,473.25,476.35,69764,0
2024-11-05T00:00:00+0530,472.15,486.9,472.15,476.05,68567,0
2024-11-06T00:00:00+0530,480.5,485,476.15,480.45,58514,0
2024-11-07T00:00:00+0530,483.9,493.95,476,480.05,73210,0
2024-11-08T00:00:00+0530,480.1,484.5,475,479.75,42518,0
2024-11-11T00:00:00+0530,472.55,483.2,472.55,476.05,47558,0
2024-11-12T00:00:00+0530,476,479,466,468.95,50371,0
2024-11-13T00:00:00+0530,460,465.8,432.35,436.65,176678,0
2024-11-14T00:00:00+0530,438.8,452.65,438.05,444.2,70274,0
2024-11-18T00:00:00+0530,448,452.95,435,437.2,55798,0
2024-11-19T00:00:00+0530,443.75,445,419.45,425.5,119467,0
2024-11-21T00:00:00+0530,430,430,409,411.2,92008,0
2024-11-22T00:00:00+0530,407.1,424,407.1,415.65,63487,0
2024-11-25T00:00:00+0530,418,431,413.2,415.35,99535,0
2024-11-26T00:00:00+0530,419.25,439.6,413,421.55,185832,0
2024-11-27T00:00:00+0530,422,430,420.5,428.35,55396,0
2024-11-28T00:00:00+0530,431,439,429.35,433.7,53017,0
2024-11-29T00:00:00+0530,437.15,439,430,433.35,34064,0
2024-12-02T00:00:00+0530,432,432.8,426.8,430.2,58510,0
2024-12-03T00:00:00+0530,430.45,444.9,430.45,441.4,90300,0
2024-12-04T00:00:00+0530,446,448.4,438,442.2,51261,0
2024-12-05T00:00:00+0530,444,448,437.2,439.9,40581,0
2024-12-06T00:00:00+0530,445,446.8,438.8,441.2,42052,0
2024-12-09T00:00:00+0530,441.5,457,441.5,447.6,93749,0
2024-12-10T00:00:00+0530,449,457.2,429.5,439.35,93819,0
2024-12-11T00:00:00+0530,436,462,436,453.65,150442,0
2024-12-12T00:00:00+0530,453,454.05,444.6,447.15,45333,0
2024-12-13T00:00:00+0530,450,450,436,444.85,42275,0
2024-12-16T00:00:00+0530,438.2,447.8,431.05,445.9,153250,0
2024-12-17T00:00:00+0530,445.9,455,441.8,447.05,53912,0
2024-12-18T00:00:00+0530,451,452,435.85,436.65,35645,0
2024-12-19T00:00:00+0530,431.4,440.15,430,435.3,40502,0
2024-12-20T00:00:00+0530,438,438.75,420.2,422.3,38936,0
2024-12-23T00:00:00+0530,425.3,430.95,419,422.55,40360,0
2024-12-24T00:00:00+0530,423,436.65,421,423.95,43569,0
2024-12-26T00:00:00+0530,425,434,420,421.7,44657,0
2024-12-27T00:00:00+0530,422.95,427,418,419.15,29050,0
2024-12-30T00:00:00+0530,415.05,418.5,410.75,413.8,48796,0
2024-12-31T00:00:00+0530,413,417.45,409,412,121094,0
2025-01-01T00:00:00+0530,412.95,420.25,412.95,416,35829,0
2025-01-02T00:00:00+0530,418.95,421.7,410,416.1,54282,0
2025-01-03T00:00:00+0530,416.1,426.9,416.1,420.85,44519,0
2025-01-06T00:00:00+0530,427,427,405.75,407.65,77071,0
2025-01-07T00:00:00+0530,407.15,413.8,404.15,405.5,53906,0
2025-01-08T00:00:00+0530,405.7,409.95,398.5,400.25,57561,0
2025-01-09T00:00:00+0530,400.25,406.6,395,397.15,39589,0
2025-01-10T00:00:00+0530,398,399.5,380.2,383.7,82945,0
2025-01-13T00:00:00+0530,379.05,382.65,355,359.1,157211,0
2025-01-14T00:00:00+0530,362,367.5,356.7,360,87519,0
2025-01-15T00:00:00+0530,360,368,357,358.35,97155,0
2025-01-16T00:00:00+0530,364.7,374,363.65,368.6,60999,0
2025-01-17T00:00:00+0530,374.15,377.3,365.8,373.55,73653,0
2025-01-20T00:00:00+0530,373.55,377.65,368.05,371.3,63994,0
2025-01-21T00:00:00+0530,375,377.5,363,364.25,61769,0
2025-01-22T00:00:00+0530,366.55,366.55,343.65,354.7,82190,0
2025-01-23T00:00:00+0530,351,359.95,345.2,348,55489,0
2025-01-24T00:00:00+0530,347.1,350.65,336,337.25,56810,0
2025-01-27T00:00:00+0530,335,335,316.4,329.85,125397,0
2025-01-28T00:00:00+0530,332.45,334.5,317,330.8,112425,0
2025-01-29T00:00:00+0530,335,339.15,330.8,336.6,65614,0
2025-01-30T00:00:00+0530,336.6,346.9,332.05,334.9,61845,0
2025-01-31T00:00:00+0530,339.55,340,333,334.6,42110,0
2025-02-01T00:00:00+0530,336.3,377.05,333,353.2,176012,0
2025-02-03T00:00:00+0530,350.25,356.75,341.05,345,74550,0
2025-02-04T00:00:00+0530,355,356.85,342.55,346.1,42544,0
2025-02-05T00:00:00+0530,348.9,358,345.55,349.95,49495,0
2025-02-06T00:00:00+0530,361.5,361.5,333.4,342.9,66150,0
2025-02-07T00:00:00+0530,347.5,348,334.55,336.25,35326,0
2025-02-10T00:00:00+0530,338,338,325.4,327.7,33423,0
2025-02-11T00:00:00+0530,327,327.05,298,306.2,173869,0
2025-02-12T00:00:00+0530,310.75,310.75,291,304.7,88761,0
2025-02-13T00:00:00+0530,311.25,313.8,292.55,294.4,99382,0
2025-02-14T00:00:00+0530,295.55,300.2,284,285.7,86490,0
2025-02-17T00:00:00+0530,285.5,291.75,275.9,286.65,140118,0
2025-02-18T00:00:00+0530,286.65,289.65,274.6,280.15,103717,0
2025-02-19T00:00:00+0530,280,287.35,275,278.2,111729,0
2025-02-20T00:00:00+0530,278,293.45,275.3,283.05,122410,0
2025-02-21T00:00:00+0530,284.75,304.3,280.55,284.15,245540,0
2025-02-24T00:00:00+0530,279.1,285,277.15,281,153633,0
2025-02-25T00:00:00+0530,279.1,286.4,277.7,279.9,110816,0
2025-02-27T00:00:00+0530,281.5,283,266,268.05,91477,0
2025-02-28T00:00:00+0530,265,277,261,275.25,170934,0
2025-03-03T00:00:00+0530,276.65,281.7,259.1,265.6,133914,0
2025-03-04T00:00:00+0530,262,269.6,258.6,265.3,153963,0
2025-03-05T00:00:00+0530,265.3,288.6,265.3,284.15,405698,0
2025-03-06T00:00:00+0530,284.15,297.05,284.15,292.3,454491,0
2025-03-07T00:00:00+0530,292.6,331,290.1,325.1,989632,0
2025-03-10T00:00:00+0530,324,329.65,314.45,325.2,208438,0
2025-03-11T00:00:00+0530,324.05,329.4,311.05,312.9,67056,0
2025-03-12T00:00:00+0530,310.4,320.45,305,309.35,62714,0
2025-03-13T00:00:00+0530,314,314,299,301,58141,0
2025-03-17T00:00:00+0530,302,305,288.6,292.75,149508,0
2025-03-18T00:00:00+0530,292.95,313.1,292.95,310.55,102951,0
2025-03-19T00:00:00+0530,312,324.4,312,321.6,93395,0
2025-03-20T00:00:00+0530,326.05,340,324,336.05,166647,0
2025-03-21T00:00:00+0530,336.05,347.75,334.05,344.2,157605,0
2025-03-24T00:00:00+0530,348,361.7,348,352.8,126285,0
2025-03-25T00:00:00+0530,358,358.95,332.05,336.4,152987,0
2025-03-26T00:00:00+0530,336.4,343.1,327.95,330.65,138231,0
2025-03-27T00:00:00+0530,330,335.05,312.55,322.2,174323,0
2025-03-28T00:00:00+0530,322,336.85,321.95,332.7,172341,0
2025-04-01T00:00:00+0530,332.65,340,326.95,333.1,47747,0
2025-04-02T00:00:00+0530,333.1,342.5,329.1,339.3,56279,0
2025-04-03T00:00:00+0530,336,344.55,335.1,336.65,50711,0
2025-04-04T00:00:00+0530,341.65,341.65,324.95,328.55,64768,0
2025-04-07T00:00:00+0530,309.95,313.35,295,305.7,64581,0
2025-04-08T00:00:00+0530,310.3,323.7,304.95,308.1,47537,0
2025-04-09T00:00:00+0530,308.1,309.95,298,301.8,23578,0
2025-04-11T00:00:00+0530,309.7,312.7,301.35,305,54412,0
2025-04-15T00:00:00+0530,308.9,326.4,308.9,319.65,50556,0
2025-04-16T00:00:00+0530,320,328.7,318.75,320.35,51687,0
2025-04-17T00:00:00+0530,320.3,326.55,317.05,321.2,35772,0
2025-04-21T00:00:00+0530,326,327.5,321.7,323.8,27087,0
2025-04-22T00:00:00+0530,323.4,336.8,323.4,328.3,67975,0
2025-04-23T00:00:00+0530,334.7,334.7,321.5,327.45,42781,0
2025-04-24T00:00:00+0530,327.45,333,322.5,323.9,49314,0
2025-04-25T00:00:00+0530,325.85,328.95,309,313.45,56959,0
2025-04-28T00:00:00+0530,313.1,318,307.55,308.45,40757,0
2025-04-29T00:00:00+0530,311,324.85,308.75,311.7,47393,0
2025-04-30T00:00:00+0530,311.7,315.45,301.35,305.55,36107,0
2025-05-02T00:00:00+0530,302,305,295.35,298.4,51714,0
2025-05-05T00:00:00+0530,304,314.8,295.35,307.35,79755,0
2025-05-06T00:00:00+0530,307.05,314.6,300,309.55,77656,0
2025-05-07T00:00:00+0530,305,313,300.25,312,68647,0
2025-05-08T00:00:00+0530,316.7,324.85,310.55,313.35,65916,0
2025-05-09T00:00:00+0530,300,324.85,300,323.05,98173,0
2025-05-12T00:00:00+0530,350,369,342.6,353.2,523385,0
2025-05-13T00:00:00+0530,356.05,360.55,351.85,354.7,48431,0
2025-05-14T00:00:00+0530,358.25,369,355.85,362.8,112375,0
2025-05-15T00:00:00+0530,370,372,359.95,361.85,56717,0
2025-05-16T00:00:00+0530,363.8,366.85,356.75,360.55,48989,0
2025-05-19T00:00:00+0530,361.9,372,361.85,365.95,61700,0
2025-05-20T00:00:00+0530,364,370.4,345.35,347.7,95530,0
2025-05-21T00:00:00+0530,347.65,350,341.85,346.55,42253,0
2025-05-22T00:00:00+0530,346.55,350.5,335.9,340.8,48266,0
2025-05-23T00:00:00+0530,342.95,359.8,338.95,353.8,76729,0
2025-05-26T00:00:00+0530,356.7,364,354,359.2,146404,0
2025-05-27T00:00:00+0530,353.8,356.8,345.1,347.85,87697,0
2025-05-28T00:00:00+0530,348,351.45,335.15,341.9,65161,0
2025-05-29T00:00:00+0530,344.95,344.95,337.5,339,28931,0
2025-05-30T00:00:00+0530,342,344.1,335,336.1,32643,0
2025-06-02T00:00:00+0530,339,344.9,336.5,339.45,28741,0
2025-06-03T00:00:00+0530,339,348.6,336.5,344.45,58144,0
2025-06-04T00:00:00+0530,347,347.4,338.5,343.5,29361,0
2025-06-05T00:00:00+0530,346,365,341.8,355.65,145143,0
2025-06-06T00:00:00+0530,357.4,364,352.85,359.1,44249,0
2025-06-09T00:00:00+0530,362.95,377.5,362,364.65,193611,0
2025-06-10T00:00:00+0530,365,367.95,358.25,360.3,36656,0
2025-06-11T00:00:00+0530,363.9,364,353.1,357.55,29980,0
2025-06-12T00:00:00+0530,362.9,362.9,350.5,352.1,31826,0
2025-06-13T00:00:00+0530,341,353.7,340.95,342.6,51408,0
2025-06-16T00:00:00+0530,339.15,350,336.2,345.45,36003,0
2025-06-17T00:00:00+0530,345.45,346.15,338,339.2,17561,0
2025-06-18T00:00:00+0530,339.2,346,334.95,342,28595,0
2025-06-19T00:00:00+0530,344,344,333,335.05,31278,0
2025-06-20T00:00:00+0530,338,359,330.6,347.4,72245,0
2025-06-23T00:00:00+0530,347.05,347.05,338,338.9,32612,0
2025-06-24T00:00:00+0530,342.1,348.45,340.25,344.1,26019,0
2025-06-25T00:00:00+0530,347.95,348.5,341.55,343.85,31056,0
2025-06-26T00:00:00+0530,348.85,348.85,341.35,345.95,22639,0
