date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,31.75,32.8,30.4,32.55,28902,0
2023-01-03T00:00:00+0530,32.55,33.95,31.25,33.45,98053,0
2023-01-04T00:00:00+0530,33.5,33.5,31.8,31.85,24653,0
2023-01-05T00:00:00+0530,33.4,33.4,30.75,30.9,53719,0
2023-01-06T00:00:00+0530,30.5,32.1,29.4,29.4,104458,0
2023-01-09T00:00:00+0530,29.4,30.65,29.4,29.9,46811,0
2023-01-10T00:00:00+0530,30.55,30.6,28.4,29.4,176213,0
2023-01-11T00:00:00+0530,29.45,29.45,28.25,28.6,25738,0
2023-01-12T00:00:00+0530,28.6,29.25,28.1,28.75,15190,0
2023-01-13T00:00:00+0530,29.25,29.7,28.2,29.3,31654,0
2023-01-16T00:00:00+0530,29.9,30.45,28.5,29.8,28401,0
2023-01-17T00:00:00+0530,30.95,30.95,29,29.55,35129,0
2023-01-18T00:00:00+0530,30.6,30.6,29,29.75,55643,0
2023-01-19T00:00:00+0530,30.35,30.35,28.3,28.3,59124,0
2023-01-20T00:00:00+0530,29,29,27.2,28.2,19259,0
2023-01-23T00:00:00+0530,28.2,28.2,26.8,27,97900,0
2023-01-24T00:00:00+0530,27,28.35,27,28.35,35005,0
2023-01-25T00:00:00+0530,29.5,29.75,28,29.75,260544,0
2023-01-27T00:00:00+0530,31.2,31.2,30.3,31.2,347415,0
2023-01-30T00:00:00+0530,32.75,32.75,32,32.75,146156,0
2023-01-31T00:00:00+0530,34.35,34.35,31.5,34.35,72525,0
2023-02-01T00:00:00+0530,35.95,36.05,34.4,35.35,203133,0
2023-02-02T00:00:00+0530,37.1,37.1,36.2,37.1,73630,0
2023-02-03T00:00:00+0530,38.95,38.95,38.95,38.95,74427,0
2023-02-06T00:00:00+0530,40.85,40.85,40.85,40.85,25725,0
2023-02-07T00:00:00+0530,42.85,42.85,38.8,38.8,288426,0
2023-02-08T00:00:00+0530,36.9,40.7,36.9,39.85,252610,0
2023-02-09T00:00:00+0530,39.85,41.8,38.05,40.8,185108,0
2023-02-10T00:00:00+0530,42.5,42.5,38.8,38.8,102136,0
2023-02-13T00:00:00+0530,36.9,40.35,36.9,37.4,95351,0
2023-02-14T00:00:00+0530,37.35,37.8,35.55,36.3,114383,0
2023-02-15T00:00:00+0530,36.25,36.95,34.5,36.45,48347,0
2023-02-16T00:00:00+0530,36.45,37.2,35.55,36.6,20499,0
2023-02-17T00:00:00+0530,36.5,36.6,34.8,35.7,32421,0
2023-02-20T00:00:00+0530,35.7,35.7,34.25,35,16381,0
2023-02-21T00:00:00+0530,35.7,35.85,34,34.3,15767,0
2023-02-22T00:00:00+0530,35,35,32.6,32.8,53748,0
2023-02-23T00:00:00+0530,31.2,34.4,31.2,34.4,67283,0
2023-02-24T00:00:00+0530,36,36.1,36,36.1,68602,0
2023-02-27T00:00:00+0530,37.35,37.9,36.65,37.9,118921,0
2023-02-28T00:00:00+0530,39.3,39.75,36,36,182998,0
2023-03-01T00:00:00+0530,35,37.2,35,36.05,61123,0
2023-03-02T00:00:00+0530,37.3,37.3,35.15,35.55,19018,0
2023-03-03T00:00:00+0530,36.95,36.95,34,34.5,96870,0
2023-03-06T00:00:00+0530,34.5,36.05,34,35.1,63633,0
2023-03-08T00:00:00+0530,34.25,35.35,34,34.6,38768,0
2023-03-09T00:00:00+0530,34.05,34.9,33.05,34.5,40399,0
2023-03-10T00:00:00+0530,34.25,34.9,32.9,34.55,42180,0
2023-03-13T00:00:00+0530,34.1,34.25,32.85,33,89191,0
2023-03-14T00:00:00+0530,33,33,31.35,31.4,55238,0
