date,open,high,low,close,volume,empty
2024-08-20T00:00:00+0530,199.5,209.45,199.5,209.45,806400,0
2024-08-21T00:00:00+0530,210,210,199,199,872400,0
2024-08-22T00:00:00+0530,189.1,189.1,189.05,189.05,19200,0
2024-08-23T00:00:00+0530,179.6,179.6,179.6,179.6,33600,0
2024-08-26T00:00:00+0530,173.5,188.55,173.05,188.55,596400,0
2024-08-27T00:00:00+0530,194.7,197.95,194,197.95,86400,0
2024-08-28T00:00:00+0530,207,207,188.05,188.05,265200,0
2024-08-29T00:00:00+0530,181,187.5,178.65,179.75,240000,0
2024-08-30T00:00:00+0530,176,184.5,170.8,171.05,124800,0
2024-09-02T00:00:00+0530,165,170,162.5,162.5,69600,0
2024-09-03T00:00:00+0530,155,169.25,150.3,159.3,304800,0
2024-09-04T00:00:00+0530,155,168.95,155,160.5,68400,0
2024-09-05T00:00:00+0530,157.5,160.5,154.35,157.35,73200,0
2024-09-06T00:00:00+0530,161,166,158.55,162.65,127200,0
2024-09-09T00:00:00+0530,168,171,164.15,165.9,51600,0
2024-09-10T00:00:00+0530,165,172,164,165,69600,0
2024-09-11T00:00:00+0530,163.65,167,163.4,165.25,31200,0
2024-09-12T00:00:00+0530,166.55,178,166.55,173.85,72000,0
2024-09-13T00:00:00+0530,171,173.65,169,169.75,63600,0
2024-09-16T00:00:00+0530,166,168,166,167.6,48000,0
2024-09-17T00:00:00+0530,166.1,166.75,161.2,162.75,30000,0
2024-09-18T00:00:00+0530,162.05,163.8,158,160.05,33600,0
2024-09-19T00:00:00+0530,163.8,168.5,155,157.05,26400,0
2024-09-20T00:00:00+0530,155.4,162.8,155.4,160.1,25200,0
2024-09-23T00:00:00+0530,161.5,161.5,155.05,157.95,33600,0
2024-09-24T00:00:00+0530,158,158,152.3,155.65,51600,0
2024-09-25T00:00:00+0530,155,160,154,158.1,50400,0
2024-09-26T00:00:00+0530,160,164.9,157.5,162.25,93600,0
2024-09-27T00:00:00+0530,161.5,162,155.1,155.85,49200,0
2024-09-30T00:00:00+0530,159.5,160,157,157.95,15600,0
2024-10-01T00:00:00+0530,159.6,159.6,155.15,155.25,49200,0
2024-10-03T00:00:00+0530,156.5,157,152.55,153.65,36000,0
2024-10-04T00:00:00+0530,153,158,152.25,156.6,14400,0
2024-10-07T00:00:00+0530,154,162.9,154,155.2,56400,0
2024-10-08T00:00:00+0530,155.2,157.9,152.5,153.05,24000,0
2024-10-09T00:00:00+0530,158,158,152,153.45,26400,0
2024-10-10T00:00:00+0530,157.9,157.9,154.05,156,9600,0
2024-10-11T00:00:00+0530,153,155,153,154,21600,0
2024-10-14T00:00:00+0530,156.5,156.5,155.9,155.9,2400,0
2024-10-15T00:00:00+0530,152.1,154.8,151.95,152.05,18000,0
2024-10-16T00:00:00+0530,152.5,157.45,152.5,155.3,44400,0
2024-10-17T00:00:00+0530,156.75,162,156.75,159.3,43200,0
2024-10-18T00:00:00+0530,163,169,158,166.05,96000,0
2024-10-21T00:00:00+0530,170.3,180,170.2,176.45,73200,0
2024-10-22T00:00:00+0530,180.85,184,170,170.75,52800,0
2024-10-23T00:00:00+0530,171,176.9,168,168,26400,0
2024-10-24T00:00:00+0530,168.2,173.95,168.2,173,15600,0
2024-10-25T00:00:00+0530,177.55,178,173,175.5,43200,0
2024-10-28T00:00:00+0530,187.95,187.95,176.1,178,25200,0
2024-10-29T00:00:00+0530,177.9,178.1,171,172.05,9600,0
2024-10-30T00:00:00+0530,172.2,175.5,172.2,173.25,9600,0
2024-10-31T00:00:00+0530,178,180,175,175,14400,0
2024-11-04T00:00:00+0530,178,178,167,169.45,8400,0
2024-11-05T00:00:00+0530,167.2,171,167.2,171,6000,0
2024-11-06T00:00:00+0530,171.5,180.55,171.5,179.1,37200,0
2024-11-07T00:00:00+0530,182.7,185.5,176.45,183.1,54000,0
2024-11-08T00:00:00+0530,182,188.7,180.1,181,25200,0
2024-11-11T00:00:00+0530,180,180,177,177,2400,0
2024-11-12T00:00:00+0530,174.6,176.1,174.3,176.1,4800,0
2024-11-13T00:00:00+0530,176.1,176.1,165.5,173.7,44400,0
2024-11-14T00:00:00+0530,166.5,170,165.55,168.95,22800,0
2024-11-18T00:00:00+0530,163,163.25,160,161,19200,0
2024-11-19T00:00:00+0530,162.15,164.9,162,164,28800,0
2024-11-21T00:00:00+0530,156.55,159,151.2,156,27600,0
2024-11-22T00:00:00+0530,155,164.9,153.5,160.05,98400,0
2024-11-25T00:00:00+0530,162,167,159.3,160,50400,0
2024-11-26T00:00:00+0530,160,163,155.1,158,20400,0
2024-11-27T00:00:00+0530,159,159,157,159,25200,0
2024-11-28T00:00:00+0530,157,159.9,153.5,154.35,50400,0
2024-11-29T00:00:00+0530,158.95,162,158.95,161,10800,0
2024-12-02T00:00:00+0530,160,160,158.1,159.2,36000,0
2024-12-03T00:00:00+0530,157.85,163,157.85,162.95,3600,0
2024-12-04T00:00:00+0530,164,165,162.5,162.5,9600,0
2024-12-05T00:00:00+0530,161,161,160.9,160.95,6000,0
2024-12-06T00:00:00+0530,160.95,163.1,160.95,162.1,9600,0
2024-12-09T00:00:00+0530,160,160,150,157,63600,0
2024-12-10T00:00:00+0530,155,157,155,156.9,14400,0
2024-12-11T00:00:00+0530,156.9,157.8,153.85,157.15,19200,0
2024-12-12T00:00:00+0530,153.05,159,153.05,158.15,32400,0
2024-12-13T00:00:00+0530,157,159.95,157,159.95,28800,0
2024-12-16T00:00:00+0530,162.2,164.9,161.1,164.85,8400,0
2024-12-17T00:00:00+0530,170,170,159,159.3,64800,0
2024-12-18T00:00:00+0530,162,164.9,161,161,16800,0
2024-12-19T00:00:00+0530,163.7,164.9,162.05,163,19200,0
2024-12-20T00:00:00+0530,160.6,164.85,160.6,160.6,7200,0
2024-12-23T00:00:00+0530,158.3,160,158,158.5,10800,0
2024-12-24T00:00:00+0530,156.05,161.8,155.25,157.5,20400,0
2024-12-26T00:00:00+0530,158.5,159.5,158.5,159.5,3600,0
2024-12-27T00:00:00+0530,157.15,157.5,156.5,157.5,6000,0
2024-12-30T00:00:00+0530,159,159,155,155,6000,0
2024-12-31T00:00:00+0530,154.05,154.05,151,151,21600,0
2025-01-01T00:00:00+0530,152,152,147,150.7,12000,0
2025-01-02T00:00:00+0530,151.05,151.8,150.25,151.65,15600,0
2025-01-03T00:00:00+0530,148.55,154.3,148.55,153.7,8400,0
2025-01-06T00:00:00+0530,150,150,145,148,21600,0
2025-01-07T00:00:00+0530,148,150,148,150,6000,0
2025-01-08T00:00:00+0530,145.55,150.95,145.55,150.95,2400,0
2025-01-09T00:00:00+0530,152.9,152.9,148.75,150.5,6000,0
2025-01-13T00:00:00+0530,144.05,147,144.05,145.85,7200,0
2025-01-14T00:00:00+0530,148,148.95,148,148.2,7200,0
2025-01-15T00:00:00+0530,150,160,150,155.95,7200,0
2025-01-16T00:00:00+0530,159,159,150.5,151.25,6000,0
2025-01-17T00:00:00+0530,157.8,157.8,150,150,4800,0
2025-01-20T00:00:00+0530,152.05,152.05,150,150,8400,0
2025-01-21T00:00:00+0530,154.95,160,146,146,25200,0
2025-01-22T00:00:00+0530,144.05,144.05,143,143.05,8400,0
2025-01-23T00:00:00+0530,144,144.05,144,144.05,3600,0
2025-01-24T00:00:00+0530,136.05,136.05,136.05,136.05,1200,0
2025-01-27T00:00:00+0530,138.55,138.55,132.95,136,13200,0
2025-01-28T00:00:00+0530,137,137,133.05,133.05,18000,0
2025-01-29T00:00:00+0530,143.95,143.95,135,135,13200,0
2025-01-30T00:00:00+0530,136,139.5,136,138.95,16800,0
2025-01-31T00:00:00+0530,138.95,138.95,138.95,138.95,6000,0
2025-02-01T00:00:00+0530,140,140,140,140,1200,0
2025-02-03T00:00:00+0530,140,140,136,136.5,6000,0
2025-02-04T00:00:00+0530,138.75,138.75,130,131.75,10800,0
2025-02-05T00:00:00+0530,135,143,135,143,10800,0
2025-02-06T00:00:00+0530,143,147.75,143,144,9600,0
2025-02-10T00:00:00+0530,137,140,136.1,136.1,12000,0
2025-02-11T00:00:00+0530,131,131,122.25,130,10800,0
2025-02-12T00:00:00+0530,130,130,128,128,2400,0
2025-02-13T00:00:00+0530,128,132.7,123.25,123.25,26400,0
2025-02-14T00:00:00+0530,142,142,126,126,2400,0
2025-02-17T00:00:00+0530,125,128.8,121.5,123.05,10800,0
2025-02-18T00:00:00+0530,129.9,131,123,126.05,16800,0
2025-02-19T00:00:00+0530,126,131.5,126,131.5,2400,0
2025-02-20T00:00:00+0530,131.5,135.95,127.05,135.95,12000,0
2025-02-21T00:00:00+0530,135,139.95,132.05,139.95,7200,0
2025-02-24T00:00:00+0530,139.75,139.75,139.75,139.75,1200,0
2025-02-25T00:00:00+0530,140,140,133.45,133.45,3600,0
2025-02-27T00:00:00+0530,133,133,118.5,120.35,18000,0
2025-02-28T00:00:00+0530,120,120,118.1,120,4800,0
2025-03-03T00:00:00+0530,117,121,103,119.5,14400,0
2025-03-04T00:00:00+0530,115,115,108,109,22800,0
2025-03-05T00:00:00+0530,114.75,124.45,108.7,120.6,36000,0
2025-03-06T00:00:00+0530,120.6,121,120.6,121,4800,0
2025-03-07T00:00:00+0530,142,142,121.05,122.8,13200,0
2025-03-10T00:00:00+0530,124,124,124,124,4800,0
2025-03-12T00:00:00+0530,120,120,116.25,116.6,6000,0
2025-03-13T00:00:00+0530,116,116.5,115,115,28800,0
2025-03-17T00:00:00+0530,110,110,107,107,7200,0
2025-03-18T00:00:00+0530,112,119,109,109,21600,0
2025-03-19T00:00:00+0530,110,115,110,114,34800,0
2025-03-20T00:00:00+0530,114,115.5,113,115.5,27600,0
2025-03-21T00:00:00+0530,114,117.9,112,113.6,56400,0
2025-03-24T00:00:00+0530,114,115,107.1,108.5,34800,0
2025-03-25T00:00:00+0530,107.55,110,103.05,105.05,39600,0
2025-03-26T00:00:00+0530,108,108,101,101,50400,0
2025-03-27T00:00:00+0530,101,101,95,95.75,76800,0
2025-03-28T00:00:00+0530,96,98.5,91,91.75,45600,0
2025-04-01T00:00:00+0530,92.5,102,92.5,102,9600,0
2025-04-02T00:00:00+0530,115.05,115.05,105,112.9,10800,0
2025-04-03T00:00:00+0530,112.75,112.75,108.2,109.5,9600,0
2025-04-04T00:00:00+0530,109.5,113.95,109.5,112,3600,0
2025-04-07T00:00:00+0530,109,110.95,105,107.95,3600,0
2025-04-08T00:00:00+0530,106,106,106,106,2400,0
2025-04-09T00:00:00+0530,106,109,106,109,2400,0
2025-04-11T00:00:00+0530,117.8,117.8,113.5,114,4800,0
2025-04-15T00:00:00+0530,115,115,110,110.2,8400,0
2025-04-16T00:00:00+0530,110.5,112,108.55,110.15,15600,0
2025-04-17T00:00:00+0530,123.95,123.95,113,113,6000,0
2025-04-21T00:00:00+0530,113,113,113,113,1200,0
2025-04-22T00:00:00+0530,109,116,109,115.25,8400,0
2025-04-23T00:00:00+0530,115.95,116.9,115,116.55,8400,0
2025-04-24T00:00:00+0530,113,117,113,117,13200,0
2025-04-28T00:00:00+0530,111,113,109.5,110.05,14400,0
2025-04-29T00:00:00+0530,110.05,116.4,110.05,116.2,6000,0
2025-04-30T00:00:00+0530,116,116,111,111.55,6000,0
2025-05-02T00:00:00+0530,111,111,111,111,1200,0
2025-05-05T00:00:00+0530,115.9,115.9,113.9,114.9,7200,0
2025-05-07T00:00:00+0530,114.9,115.7,114.9,115.7,4800,0
2025-05-12T00:00:00+0530,133,133,118,118.5,8400,0
2025-05-13T00:00:00+0530,115.4,116,115.4,116,2400,0
2025-05-14T00:00:00+0530,112,117,112,117,3600,0
2025-05-16T00:00:00+0530,116.05,120,115.25,117.95,19200,0
2025-05-19T00:00:00+0530,121.25,122.6,118.5,122,24000,0
2025-05-20T00:00:00+0530,124,141.5,122,138.4,68400,0
2025-05-21T00:00:00+0530,141,150.35,135.25,147.25,55200,0
2025-05-22T00:00:00+0530,144,144,137,137.8,52800,0
2025-05-23T00:00:00+0530,135.25,137,135.25,136.5,13200,0
2025-05-26T00:00:00+0530,138,145.5,138,143.45,40800,0
2025-05-27T00:00:00+0530,159,159,149.1,151.15,42000,0
2025-05-28T00:00:00+0530,158.55,158.55,150,153,22800,0
2025-05-29T00:00:00+0530,156,162.65,152,160.8,51600,0
2025-05-30T00:00:00+0530,164.95,169,162.95,166.05,73200,0
2025-06-02T00:00:00+0530,166.05,170.8,165.6,168.7,30000,0
2025-06-03T00:00:00+0530,175.7,175.7,169,172.1,31200,0
2025-06-04T00:00:00+0530,172,175.75,171.5,175.25,13200,0
2025-06-05T00:00:00+0530,176,178,174,178,30000,0
2025-06-06T00:00:00+0530,171,177.4,169.1,174,21600,0
2025-06-09T00:00:00+0530,172,176,172,175.95,9600,0
2025-06-10T00:00:00+0530,175,176.85,171.9,173,13200,0
2025-06-11T00:00:00+0530,173,173,170,171.6,7200,0
2025-06-12T00:00:00+0530,176,176,176,176,2400,0
2025-06-13T00:00:00+0530,171,173.5,167.2,167.2,12000,0
2025-06-16T00:00:00+0530,162.9,162.9,161,161,2400,0
2025-06-17T00:00:00+0530,159.9,167.85,159.9,167.85,3600,0
2025-06-18T00:00:00+0530,172.75,172.75,165,168,8400,0
2025-06-19T00:00:00+0530,161.4,162.2,161.4,162.2,2400,0
2025-06-20T00:00:00+0530,164.95,168.7,163.05,165.85,13200,0
2025-06-23T00:00:00+0530,172,173.95,171,171,4800,0
2025-06-24T00:00:00+0530,176.9,176.9,176.9,176.9,1200,0
2025-06-25T00:00:00+0530,178.9,178.9,168.1,168.1,3600,0
2025-06-26T00:00:00+0530,168.1,173.95,168.1,173.4,4800,0
2025-06-27T00:00:00+0530,175,176.95,170,173.95,7200,0
2025-06-30T00:00:00+0530,175.9,177,165.4,165.75,14400,0
2025-07-02T00:00:00+0530,171.95,171.95,168,168,2400,0
2025-07-04T00:00:00+0530,165.05,165.05,165,165,2400,0
2025-07-09T00:00:00+0530,164,164,156.75,156.75,13200,0
2025-07-10T00:00:00+0530,156.75,164.55,154,164.55,27600,0
2025-07-11T00:00:00+0530,172.5,172.75,162,172.3,26400,0
2025-07-14T00:00:00+0530,178,178,163.7,174.7,21600,0
2025-07-15T00:00:00+0530,167.05,173.8,166.6,170.05,14400,0
2025-07-16T00:00:00+0530,167,167,166.5,166.5,2400,0
2025-07-17T00:00:00+0530,170.75,172,163.05,169.75,14400,0
2025-07-18T00:00:00+0530,172.95,172.95,166.2,166.2,9600,0
2025-07-21T00:00:00+0530,167,168,166.2,166.45,8400,0
2025-07-22T00:00:00+0530,171.95,174.5,170,170.05,22800,0
2025-07-23T00:00:00+0530,173.85,175,167.8,167.8,12000,0
2025-07-24T00:00:00+0530,172,174.4,170,170,31200,0
2025-07-25T00:00:00+0530,166,166,163,163.3,20400,0
2025-07-28T00:00:00+0530,155.25,157.95,155.15,157,34800,0
2025-07-29T00:00:00+0530,164.5,164.85,163.75,164.85,19200,0
2025-07-30T00:00:00+0530,163,163,163,163,2400,0
2025-07-31T00:00:00+0530,165,165,163,165,10800,0
2025-08-01T00:00:00+0530,157.15,157.15,157,157.1,3600,0
2025-08-04T00:00:00+0530,153,155,149.25,155,16800,0
2025-08-05T00:00:00+0530,154.95,158,154.95,158,2400,0
2025-08-06T00:00:00+0530,151.5,155,150.1,150.1,13200,0
2025-08-07T00:00:00+0530,147,147,143,143,12000,0
2025-08-08T00:00:00+0530,149.65,149.65,149.65,149.65,1200,0
2025-08-11T00:00:00+0530,143.05,155.6,142.2,155.6,12000,0
2025-08-13T00:00:00+0530,149,149,149,149,1200,0
2025-08-18T00:00:00+0530,148.95,148.95,148.95,148.95,1200,0
2025-08-19T00:00:00+0530,150,156.35,150,156.35,32400,0
2025-08-20T00:00:00+0530,162.8,162.9,162.8,162.85,3600,0
2025-08-21T00:00:00+0530,155.55,158,155.5,157.9,6000,0
2025-08-22T00:00:00+0530,157.5,157.9,153,153,7200,0
2025-08-25T00:00:00+0530,150,158.9,150,158.9,3600,0
2025-08-26T00:00:00+0530,158.9,158.9,158.9,158.9,4800,0
2025-08-28T00:00:00+0530,159.1,159.1,159.1,159.1,3600,0
2025-09-01T00:00:00+0530,156.3,156.3,156.3,156.3,1200,0
2025-09-02T00:00:00+0530,153,153,151,151,4800,0
2025-09-03T00:00:00+0530,148.95,158.55,148.95,158.55,4800,0
2025-09-04T00:00:00+0530,151.05,151.05,150.65,150.65,22800,0
2025-09-05T00:00:00+0530,156.85,158.15,156.85,158.15,13200,0
