date,open,high,low,close,volume,empty
2023-11-20T00:00:00+0530,84,84,79.8,79.8,376000,0
2023-11-21T00:00:00+0530,75.85,75.85,75.85,75.85,30400,0
2023-11-22T00:00:00+0530,73.1,79.6,73.1,78.95,132800,0
2023-11-23T00:00:00+0530,80,80,75,75.2,80000,0
2023-11-24T00:00:00+0530,74.6,76,72.55,73.05,32000,0
2023-11-28T00:00:00+0530,73.25,74,70.15,70.65,51200,0
2023-11-29T00:00:00+0530,70,74,69.95,71.6,36800,0
2023-11-30T00:00:00+0530,72,73,70.05,71,22400,0
2023-12-01T00:00:00+0530,71,71,68.7,70,25600,0
2023-12-04T00:00:00+0530,69.05,70.5,68,70.05,35200,0
2023-12-05T00:00:00+0530,71,74.5,70,70.05,36800,0
2023-12-06T00:00:00+0530,69.05,70.6,68.55,69.05,28800,0
2023-12-07T00:00:00+0530,66.4,68,66.4,67.3,19200,0
2023-12-08T00:00:00+0530,67.6,68.9,67.1,68,16000,0
2023-12-11T00:00:00+0530,67.3,67.9,65,66.1,35200,0
2023-12-12T00:00:00+0530,68.45,68.5,66,67.3,20800,0
2023-12-13T00:00:00+0530,67.3,69,67.3,68.5,19200,0
2023-12-14T00:00:00+0530,66.1,67.45,66,66,16000,0
2023-12-15T00:00:00+0530,66,66,64.05,64.2,30400,0
2023-12-18T00:00:00+0530,63.5,63.5,61,62.95,28800,0
2023-12-19T00:00:00+0530,62,62,61.05,61.1,8000,0
2023-12-20T00:00:00+0530,61.2,62,60,60,22400,0
2023-12-21T00:00:00+0530,57.4,59.45,57.4,59.45,9600,0
2023-12-22T00:00:00+0530,60.4,65,60.4,63.55,17600,0
2023-12-26T00:00:00+0530,63.9,65.45,62.55,65.45,14400,0
2023-12-27T00:00:00+0530,65.45,65.8,65.4,65.8,12800,0
2023-12-28T00:00:00+0530,65.8,66.9,61.9,61.9,9600,0
2023-12-29T00:00:00+0530,62.3,63.5,62.3,63.45,4800,0
2024-01-01T00:00:00+0530,61.25,65.05,61.25,63.15,14400,0
2024-01-02T00:00:00+0530,63.2,63.2,62,62.1,8000,0
2024-01-03T00:00:00+0530,61,68,61,64.8,32000,0
2024-01-04T00:00:00+0530,67,67.9,67,67.7,6400,0
2024-01-05T00:00:00+0530,67.7,67.7,65.3,66,8000,0
2024-01-08T00:00:00+0530,67.95,67.95,65.55,66.45,17600,0
2024-01-09T00:00:00+0530,67.5,69,67,68,22400,0
2024-01-10T00:00:00+0530,66.5,66.5,65,65,9600,0
2024-01-11T00:00:00+0530,65.15,65.9,65.15,65.9,6400,0
2024-01-12T00:00:00+0530,66,66,65,65.45,4800,0
2024-01-15T00:00:00+0530,68,70,67.95,69.4,44800,0
2024-01-16T00:00:00+0530,72.9,72.9,68,68.55,22400,0
2024-01-17T00:00:00+0530,70.9,70.9,68,69,17600,0
2024-01-18T00:00:00+0530,70.4,71.9,70.4,71,11200,0
2024-01-19T00:00:00+0530,71,72.9,70.5,71.95,14400,0
2024-01-20T00:00:00+0530,71.95,72.8,71.95,72.7,4800,0
2024-01-23T00:00:00+0530,72.5,73,66.3,68.6,22400,0
2024-01-24T00:00:00+0530,70.5,78,69.1,69.1,24000,0
2024-01-25T00:00:00+0530,69.3,71,69.3,71,9600,0
2024-01-29T00:00:00+0530,71,75.5,71,74.8,43200,0
2024-01-30T00:00:00+0530,73.1,75.7,73.1,75.7,8000,0
2024-01-31T00:00:00+0530,71.25,75,71.25,74,35200,0
2024-02-01T00:00:00+0530,75,75.5,72.05,72.1,22400,0
2024-02-02T00:00:00+0530,71.25,75,71.25,75,25600,0
2024-02-05T00:00:00+0530,72.6,74.7,72.1,74.65,22400,0
2024-02-06T00:00:00+0530,74,74.95,73.25,73.25,12800,0
2024-02-07T00:00:00+0530,74.6,76,74.5,76,8000,0
2024-02-08T00:00:00+0530,76,76,72,73,14400,0
2024-02-09T00:00:00+0530,75,75,74,74.5,16000,0
2024-02-12T00:00:00+0530,72,72,71,71,8000,0
2024-02-13T00:00:00+0530,73,73,72,72,3200,0
2024-02-15T00:00:00+0530,72,72,72,72,1600,0
2024-02-16T00:00:00+0530,72.5,73.5,72.5,73.5,3200,0
2024-02-19T00:00:00+0530,74,77,74,76.2,28800,0
2024-02-20T00:00:00+0530,75.5,75.5,75,75,6400,0
2024-02-21T00:00:00+0530,74,74,74,74,3200,0
2024-02-22T00:00:00+0530,75,75,75,75,8000,0
2024-02-23T00:00:00+0530,76,76.3,76,76.3,3200,0
2024-02-26T00:00:00+0530,75,75,71.05,71.05,9600,0
2024-02-27T00:00:00+0530,72.05,72.05,72.05,72.05,1600,0
2024-02-28T00:00:00+0530,71.5,71.5,70,71,4800,0
2024-02-29T00:00:00+0530,72,72,72,72,1600,0
2024-03-01T00:00:00+0530,73,73,73,73,3200,0
