date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,60.7,62.15,58.9,59.15,41676,0
2023-01-03T00:00:00+0530,59.25,61.35,59.25,59.9,13049,0
2023-01-04T00:00:00+0530,60.1,60.8,57.95,58.4,33158,0
2023-01-05T00:00:00+0530,59.05,59.3,57.25,58.45,15996,0
2023-01-06T00:00:00+0530,60.4,60.4,57,57.55,19144,0
2023-01-09T00:00:00+0530,58.1,59.85,58.1,59.15,7663,0
2023-01-10T00:00:00+0530,59.9,59.9,58.05,58.35,3383,0
2023-01-11T00:00:00+0530,58.3,60.5,56.55,57.3,23967,0
2023-01-12T00:00:00+0530,57.9,58.55,56.9,57.2,8500,0
2023-01-13T00:00:00+0530,58.35,58.35,56.55,57.3,8968,0
2023-01-16T00:00:00+0530,57.8,66.85,57.3,63.6,497053,0
2023-01-17T00:00:00+0530,63.65,65,58.1,60.3,102126,0
2023-01-18T00:00:00+0530,61.9,61.9,59.1,59.65,63858,0
2023-01-19T00:00:00+0530,60.5,61.9,58.8,61,33487,0
2023-01-20T00:00:00+0530,61.95,62.1,60,60.75,13111,0
2023-01-23T00:00:00+0530,61.2,61.95,59.2,59.8,30680,0
2023-01-24T00:00:00+0530,60.15,60.7,58.2,58.95,17552,0
2023-01-25T00:00:00+0530,59.05,61.95,57.2,60.6,25501,0
2023-01-27T00:00:00+0530,61.2,61.2,57.05,58,18212,0
2023-01-30T00:00:00+0530,58.45,58.9,57.5,57.9,9348,0
2023-01-31T00:00:00+0530,58.5,59.95,57.4,58.9,24135,0
2023-02-01T00:00:00+0530,60.3,61.8,57.35,58.05,58030,0
2023-02-02T00:00:00+0530,58.1,59.05,57,57.2,19506,0
2023-02-03T00:00:00+0530,58.2,62.05,56.2,57.3,77272,0
2023-02-06T00:00:00+0530,57.15,57.9,57,57.25,2352,0
2023-02-07T00:00:00+0530,59.3,59.3,56.7,57.4,8298,0
2023-02-08T00:00:00+0530,57.5,58.2,57.05,57.25,8812,0
2023-02-09T00:00:00+0530,57.95,58.85,57.05,57.9,7417,0
2023-02-10T00:00:00+0530,56.1,57.8,56.1,56.95,11702,0
2023-02-13T00:00:00+0530,56.35,58.2,54.35,55.7,14719,0
2023-02-14T00:00:00+0530,56.1,56.75,54.1,55,8954,0
2023-02-15T00:00:00+0530,54.3,55.6,54,54.1,17656,0
2023-02-16T00:00:00+0530,55,55,53.4,53.85,15196,0
2023-02-17T00:00:00+0530,53.35,54.15,53.3,53.85,3330,0
2023-02-20T00:00:00+0530,53.9,54.1,52.95,53.15,5724,0
2023-02-21T00:00:00+0530,52.9,58.4,52.9,56.8,29368,0
2023-02-22T00:00:00+0530,61.35,63.85,58.15,58.75,374380,0
2023-02-23T00:00:00+0530,58.75,59.65,56.2,57.25,37133,0
2023-02-24T00:00:00+0530,58,58,55.05,55.65,16008,0
2023-02-27T00:00:00+0530,56.4,56.5,54.2,54.45,5498,0
2023-02-28T00:00:00+0530,54.25,54.45,51.3,52.65,21353,0
2023-03-01T00:00:00+0530,52.15,55.15,52,53.6,14065,0
2023-03-02T00:00:00+0530,54.65,60.9,52.5,54.85,101632,0
2023-03-03T00:00:00+0530,55.85,58,54.6,55.2,27466,0
2023-03-06T00:00:00+0530,55.05,55.75,53.25,53.9,64792,0
2023-03-08T00:00:00+0530,55.5,55.75,53.6,55.5,17316,0
2023-03-09T00:00:00+0530,54.4,55.8,54.4,54.9,3439,0
2023-03-10T00:00:00+0530,54.5,57,54.25,56.05,27885,0
2023-03-13T00:00:00+0530,57.95,57.95,54.65,54.85,13281,0
2023-03-14T00:00:00+0530,54.85,54.85,52.2,52.85,13740,0
2023-03-15T00:00:00+0530,57,57,52.1,52.45,15192,0
2023-03-16T00:00:00+0530,52.1,53.85,51.5,51.75,9237,0
2023-03-17T00:00:00+0530,53.35,54.1,52.5,53.7,15864,0
2023-03-20T00:00:00+0530,53.2,54.3,52.5,52.7,6743,0
2023-03-21T00:00:00+0530,52.65,52.7,51.7,51.8,20585,0
2023-03-22T00:00:00+0530,52.05,52.95,51.1,52.45,34189,0
2023-03-23T00:00:00+0530,54.35,54.35,51.25,52.05,10380,0
2023-03-24T00:00:00+0530,52.15,52.15,46.6,49.25,26285,0
2023-03-27T00:00:00+0530,50.3,52.95,46,47,58260,0
2023-03-28T00:00:00+0530,47,48.15,43.45,44.4,79597,0
2023-03-29T00:00:00+0530,44.95,46.45,44.3,45.95,19457,0
2023-03-31T00:00:00+0530,46.85,48,45.3,46.85,15831,0
2023-04-03T00:00:00+0530,46.75,49,46.75,48.8,8898,0
2023-04-05T00:00:00+0530,50.95,50.95,49.5,50.05,9366,0
2023-04-06T00:00:00+0530,49.3,52.2,48.15,49.25,20292,0
2023-04-10T00:00:00+0530,52,52,50.2,50.85,7743,0
2023-04-11T00:00:00+0530,51.9,51.95,50.4,51.25,2497,0
2023-04-12T00:00:00+0530,51.95,52.35,50.15,51.3,8872,0
2023-04-13T00:00:00+0530,51.45,51.95,50.45,50.65,5780,0
2023-04-17T00:00:00+0530,50.15,51.4,50.1,50.95,1971,0
2023-04-18T00:00:00+0530,51,51.65,50.25,50.35,2535,0
2023-04-19T00:00:00+0530,52.25,52.4,49.35,51.45,26722,0
2023-04-20T00:00:00+0530,52.75,52.95,50.75,51.7,19428,0
2023-04-21T00:00:00+0530,51.2,52.8,51.05,51.4,9256,0
2023-04-24T00:00:00+0530,51.55,52.6,51.1,52.3,5805,0
2023-04-25T00:00:00+0530,52.4,52.4,51.35,52,3965,0
2023-04-26T00:00:00+0530,51.9,52,50.9,51.3,13011,0
2023-04-27T00:00:00+0530,53,53,51.5,52.55,10823,0
2023-04-28T00:00:00+0530,52.5,55,51.8,52.55,28271,0
2023-05-02T00:00:00+0530,52.6,53.7,52.5,53,10865,0
2023-05-03T00:00:00+0530,53.5,57,52.25,55.65,110675,0
2023-05-04T00:00:00+0530,56.95,59.95,55.1,59.55,116736,0
2023-05-05T00:00:00+0530,59.5,62.8,56.55,57.75,87872,0
2023-05-08T00:00:00+0530,60.05,61.4,55.5,56.55,30946,0
2023-05-09T00:00:00+0530,58.7,58.7,56.45,57,19394,0
