date,open,high,low,close,volume,empty
2024-07-01T00:00:00+0530,66,69.3,62.7,69.3,3104000,0
2024-07-02T00:00:00+0530,66.6,71.95,65.85,69.45,1038000,0
2024-07-03T00:00:00+0530,67.9,68.9,66.15,67,424000,0
2024-07-04T00:00:00+0530,68.8,70.35,67.3,70.35,426000,0
2024-07-05T00:00:00+0530,73.85,73.85,72.9,73.85,274000,0
2024-07-08T00:00:00+0530,77.5,77.5,77.5,77.5,46000,0
2024-07-09T00:00:00+0530,81.35,81.35,81.35,81.35,80000,0
2024-07-10T00:00:00+0530,85.4,85.4,77.3,85.4,1230000,0
2024-07-11T00:00:00+0530,89.65,89.65,89.65,89.65,48000,0
2024-07-12T00:00:00+0530,94.1,94.1,94.1,94.1,82000,0
2024-07-15T00:00:00+0530,100,112.9,95.95,112.9,1464000,0
2024-07-16T00:00:00+0530,119.75,135.45,117.05,135.1,1656000,0
2024-07-18T00:00:00+0530,137.95,139,121.6,122.05,1140000,0
2024-07-19T00:00:00+0530,118.15,118.15,109.85,109.85,642000,0
2024-07-22T00:00:00+0530,107,120.8,103.05,120.8,768000,0
2024-07-23T00:00:00+0530,125.95,128,114,120.85,254000,0
2024-07-24T00:00:00+0530,121.9,127,119,125.7,138000,0
2024-07-25T00:00:00+0530,124,131.5,117.5,119.8,226000,0
2024-07-26T00:00:00+0530,123,125,119.25,120,134000,0
2024-07-29T00:00:00+0530,123.9,123.9,115,115.4,120000,0
2024-07-30T00:00:00+0530,115.6,117,112.5,113.9,76000,0
2024-07-31T00:00:00+0530,116.5,116.5,110.85,113.6,64000,0
2024-08-01T00:00:00+0530,113.6,113.6,106.2,107.5,72000,0
2024-08-02T00:00:00+0530,105.6,115.4,102.5,113.9,142000,0
2024-08-05T00:00:00+0530,107,113.4,107,111.05,68000,0
2024-08-06T00:00:00+0530,114.45,119.9,112.85,112.9,66000,0
2024-08-07T00:00:00+0530,114,114,110.05,113,16000,0
2024-08-08T00:00:00+0530,115.2,119,112.05,116,42000,0
2024-08-09T00:00:00+0530,115.5,115.5,111.5,114,36000,0
2024-08-12T00:00:00+0530,112,113.25,110.8,113.25,22000,0
2024-08-13T00:00:00+0530,111,113,110,111.6,50000,0
2024-08-14T00:00:00+0530,109,113,109,109.9,26000,0
2024-08-16T00:00:00+0530,109.1,109.95,106,108.5,52000,0
2024-08-19T00:00:00+0530,107.9,109,107.25,108.1,28000,0
2024-08-20T00:00:00+0530,107.4,112.6,107.4,112.6,20000,0
2024-08-21T00:00:00+0530,109.6,112.85,109.15,109.7,32000,0
2024-08-22T00:00:00+0530,110.4,112.95,109.15,110.05,38000,0
2024-08-23T00:00:00+0530,110,111.55,110,111.45,32000,0
2024-08-26T00:00:00+0530,110.5,110.5,109.05,109.6,12000,0
2024-08-27T00:00:00+0530,108.3,108.5,107,108,18000,0
2024-08-28T00:00:00+0530,108,109,107,107.7,20000,0
2024-08-29T00:00:00+0530,103.1,111.95,103.1,108,40000,0
2024-08-30T00:00:00+0530,109,109,105.5,106.35,16000,0
2024-09-02T00:00:00+0530,108.5,108.5,103.1,103.65,22000,0
2024-09-03T00:00:00+0530,105,105.85,103,105,24000,0
2024-09-04T00:00:00+0530,103.9,104.95,98.1,100.5,48000,0
2024-09-05T00:00:00+0530,102.9,102.9,96,96.8,42000,0
2024-09-06T00:00:00+0530,97.15,99,92.05,97.5,40000,0
2024-09-09T00:00:00+0530,97.5,97.5,96,96,40000,0
2024-09-10T00:00:00+0530,96,97,95.7,95.7,42000,0
