date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,117.1,128.7,114.1,124.1,596287,0
2023-01-03T00:00:00+0530,123.8,124.7,118.6,119.6,139126,0
2023-01-04T00:00:00+0530,120.9,120.9,115.6,116.45,55945,0
2023-01-05T00:00:00+0530,117.1,138,117.1,131.55,738408,0
2023-01-06T00:00:00+0530,130,154.8,126.3,145.4,969393,0
2023-01-09T00:00:00+0530,147,151.2,132.2,135.3,221580,0
2023-01-10T00:00:00+0530,135,148,135,144.6,327859,0
2023-01-11T00:00:00+0530,145,147.9,140.15,141.05,101884,0
2023-01-12T00:00:00+0530,143.7,147,134,134.1,41543,0
2023-01-13T00:00:00+0530,133.8,133.8,127.4,127.4,18072,0
2023-01-16T00:00:00+0530,125.9,125.9,121.05,122.15,30201,0
2023-01-17T00:00:00+0530,120.95,122.85,117.35,121.55,12328,0
2023-01-18T00:00:00+0530,121.55,127.6,121.55,127,24842,0
2023-01-19T00:00:00+0530,126.1,127.8,123,124.45,7153,0
2023-01-20T00:00:00+0530,125,126.85,122.5,124.5,8526,0
2023-01-23T00:00:00+0530,125.2,125.2,118.3,118.9,15007,0
2023-01-24T00:00:00+0530,120.5,120.5,112.95,115.55,16319,0
2023-01-25T00:00:00+0530,115.75,115.75,109.8,110.7,11619,0
2023-01-27T00:00:00+0530,110,110,105.5,107.95,8159,0
2023-01-30T00:00:00+0530,110,110.75,104.5,105.9,4261,0
2023-01-31T00:00:00+0530,103,111.15,103,111.15,3856,0
2023-02-01T00:00:00+0530,115.7,116.7,107.05,109.95,11735,0
2023-02-02T00:00:00+0530,105,109.95,105,107.35,4616,0
2023-02-03T00:00:00+0530,108,108.75,102.5,104,4124,0
2023-02-06T00:00:00+0530,106.9,106.9,99.3,101.1,8561,0
2023-02-07T00:00:00+0530,101.5,104.45,101.05,101.5,3540,0
2023-02-08T00:00:00+0530,100,103.95,99,102,3233,0
2023-02-09T00:00:00+0530,103,104,101.2,103.45,2369,0
2023-02-10T00:00:00+0530,103.9,103.9,100.5,101.25,1740,0
2023-02-13T00:00:00+0530,102.5,103.8,100.1,101.7,6263,0
2023-02-14T00:00:00+0530,102.95,103,100.15,101.5,2454,0
2023-02-15T00:00:00+0530,100.05,103.9,100.05,103.1,3677,0
