date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,716.7,721.4,712.85,718.95,120573,0
2023-01-03T00:00:00+0530,719.7,724.45,715,717.75,97774,0
2023-01-04T00:00:00+0530,717.7,723.9,710.2,716.85,116848,0
2023-01-05T00:00:00+0530,718,721.1,700,703.3,105938,0
2023-01-06T00:00:00+0530,705.7,705.7,690.1,692.9,103253,0
2023-01-09T00:00:00+0530,696.4,711.75,695.3,701.15,83721,0
2023-01-10T00:00:00+0530,708,754.95,706.55,728.6,1572772,0
2023-01-11T00:00:00+0530,730,744.4,720,727.15,328775,0
2023-01-12T00:00:00+0530,725,737.75,720.55,725.3,176752,0
2023-01-13T00:00:00+0530,728.95,744.25,728.05,732.45,294545,0
2023-01-16T00:00:00+0530,734.3,736.4,711.25,717.55,140262,0
2023-01-17T00:00:00+0530,717,719,701.4,704.6,173666,0
2023-01-18T00:00:00+0530,708,715,705.1,712.1,143632,0
2023-01-19T00:00:00+0530,711.9,712.7,701.25,703.55,109183,0
2023-01-20T00:00:00+0530,707.3,709,694.85,698,126037,0
2023-01-23T00:00:00+0530,670,682.25,658.4,670.95,447487,0
2023-01-24T00:00:00+0530,665,687.95,663.15,670.95,297615,0
2023-01-25T00:00:00+0530,671,674.4,661,663.9,152320,0
2023-01-27T00:00:00+0530,667.25,678.5,639,646.65,219708,0
2023-01-30T00:00:00+0530,647.65,657.95,625.15,628.65,199313,0
2023-01-31T00:00:00+0530,631.1,652,625,646.8,230607,0
2023-02-01T00:00:00+0530,654.7,664.6,631,637.4,164655,0
2023-02-02T00:00:00+0530,636.25,654.7,630,634.55,166907,0
2023-02-03T00:00:00+0530,637.4,640.45,616,623.5,172228,0
2023-02-06T00:00:00+0530,626,634.95,616,618.75,159274,0
2023-02-07T00:00:00+0530,621.85,627.65,609,611.05,147526,0
2023-02-08T00:00:00+0530,612.4,622,606.25,613.95,154645,0
2023-02-09T00:00:00+0530,616,638.25,611.1,627.1,253692,0
2023-02-10T00:00:00+0530,625,638.65,622,632.35,138128,0
2023-02-13T00:00:00+0530,634.1,634.1,611,616.45,107184,0
2023-02-14T00:00:00+0530,616.4,622,610.1,615,105354,0
2023-02-15T00:00:00+0530,613,614.05,602.3,604.2,168334,0
2023-02-16T00:00:00+0530,615,664.4,615,652.8,2840797,0
2023-02-17T00:00:00+0530,658,693,658,675.2,1895213,0
2023-02-20T00:00:00+0530,674.95,682,655.6,665.2,444537,0
2023-02-21T00:00:00+0530,665,674.85,642,646.45,242486,0
2023-02-22T00:00:00+0530,640.45,668.75,635.25,658,440998,0
2023-02-23T00:00:00+0530,658,670,641.15,646.25,244658,0
2023-02-24T00:00:00+0530,649.4,664,648.05,655.25,185583,0
2023-02-27T00:00:00+0530,655.2,684.9,630,676.6,422560,0
2023-02-28T00:00:00+0530,680,694.2,667,675.2,463919,0
2023-03-01T00:00:00+0530,669,674.9,658,661.6,312250,0
2023-03-02T00:00:00+0530,659.7,662.35,645.65,649.25,212676,0
2023-03-03T00:00:00+0530,652.5,659,642.25,648.9,212184,0
2023-03-06T00:00:00+0530,652.15,665.45,645,647.25,254313,0
2023-03-08T00:00:00+0530,641.1,655.65,640,644.65,181001,0
2023-03-09T00:00:00+0530,646.5,650,639,640.85,142797,0
2023-03-10T00:00:00+0530,638,639.25,630.65,634.35,168311,0
2023-03-13T00:00:00+0530,633.2,635.9,617.5,620,179385,0
2023-03-14T00:00:00+0530,620.05,627,604,608.8,224015,0
2023-03-15T00:00:00+0530,611.3,620,601.1,604.3,161573,0
2023-03-16T00:00:00+0530,603,603,583,586.35,378693,0
2023-03-17T00:00:00+0530,592,605,584.6,591.75,260696,0
2023-03-20T00:00:00+0530,585.25,588,571,573.6,234271,0
2023-03-21T00:00:00+0530,576.5,577.7,561.4,563.4,275808,0
