date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,52.45,57,52.45,56.5,4521,0
2023-01-03T00:00:00+0530,57.95,58.9,55,55.55,2224,0
2023-01-04T00:00:00+0530,54.85,56.7,54,56.15,1063,0
2023-01-05T00:00:00+0530,55.3,56.6,54.5,56.55,2257,0
2023-01-06T00:00:00+0530,55.1,55.6,53.5,54.1,1421,0
2023-01-09T00:00:00+0530,54.1,56.7,54.1,55.85,1524,0
2023-01-10T00:00:00+0530,55.85,55.85,53.6,54.2,1522,0
2023-01-11T00:00:00+0530,54.6,55.5,53.3,53.45,3166,0
2023-01-12T00:00:00+0530,54,55.75,53.6,54.2,2803,0
2023-01-13T00:00:00+0530,54.1,54.95,53.65,54.25,384,0
2023-01-16T00:00:00+0530,54.3,54.7,52.6,52.95,1792,0
2023-01-17T00:00:00+0530,53.1,54.3,52.95,53.15,1223,0
2023-01-18T00:00:00+0530,53.7,53.7,50,51.35,4581,0
2023-01-19T00:00:00+0530,51.9,53,51.2,52.3,2637,0
2023-01-20T00:00:00+0530,53,53,51.6,51.65,1155,0
2023-01-23T00:00:00+0530,51.65,53.9,50.3,52.6,1597,0
2023-01-24T00:00:00+0530,53.85,54.75,52.95,53.3,1012,0
2023-01-25T00:00:00+0530,53.1,53.75,49.35,49.75,10692,0
2023-01-27T00:00:00+0530,50.8,50.85,47.05,48.15,7155,0
2023-01-30T00:00:00+0530,47.95,48.7,45.95,48.45,4107,0
2023-01-31T00:00:00+0530,49,49.75,48.55,49.25,2598,0
2023-02-01T00:00:00+0530,49.05,50.35,48.65,49,3735,0
2023-02-02T00:00:00+0530,49.1,51.65,48.05,48.25,1511,0
2023-02-03T00:00:00+0530,49.05,50.95,47.3,49.45,2298,0
2023-02-06T00:00:00+0530,50,50.45,48.1,49.2,972,0
2023-02-07T00:00:00+0530,49.95,51,47.5,48,1588,0
2023-02-08T00:00:00+0530,48,50.15,48,49.1,4478,0
2023-02-09T00:00:00+0530,49.3,49.9,48.3,48.35,799,0
2023-02-10T00:00:00+0530,49,49,47.6,47.8,1443,0
2023-02-13T00:00:00+0530,48,48.8,47.55,47.75,330,0
2023-02-14T00:00:00+0530,47.7,51.3,47.7,48.95,2512,0
2023-02-15T00:00:00+0530,53.8,53.8,46.4,46.75,16578,0
