date,open,high,low,close,volume,empty
2024-04-16T00:00:00+0530,125,131.25,123,131.25,2850000,0
2024-04-18T00:00:00+0530,137.8,137.8,137.8,137.8,79200,0
2024-04-19T00:00:00+0530,144.65,144.65,144.65,144.65,86400,0
2024-04-22T00:00:00+0530,151.85,151.85,151.85,151.85,32400,0
2024-04-23T00:00:00+0530,159.4,159.4,159.4,159.4,39600,0
2024-04-24T00:00:00+0530,167.35,167.35,161.15,167.35,1201200,0
2024-04-25T00:00:00+0530,164.9,175.7,159,175.7,897600,0
2024-04-26T00:00:00+0530,184.45,184.45,184.45,184.45,115200,0
2024-04-29T00:00:00+0530,193.65,193.65,193.65,193.65,20400,0
2024-04-30T00:00:00+0530,203.3,203.3,203.3,203.3,25200,0
2024-05-02T00:00:00+0530,223,223.6,212.5,223.6,1210800,0
2024-05-03T00:00:00+0530,232,245.95,206.65,245.95,943200,0
2024-05-06T00:00:00+0530,268.8,268.8,225.25,256.75,808800,0
2024-05-07T00:00:00+0530,256.75,257.5,243.95,243.95,273600,0
2024-05-08T00:00:00+0530,231.75,231.75,231.75,231.75,54000,0
2024-05-09T00:00:00+0530,225.1,243.3,220.2,220.2,1167600,0
2024-05-10T00:00:00+0530,209.2,231.2,209.2,230.2,962400,0
2024-05-13T00:00:00+0530,225.3,231,218.7,221.95,231600,0
2024-05-14T00:00:00+0530,220,233,220,233,194400,0
2024-05-15T00:00:00+0530,233,237,221.35,221.35,193200,0
2024-05-16T00:00:00+0530,224.9,226,214,223.15,135600,0
2024-05-17T00:00:00+0530,226,227.4,219.9,220.45,78000,0
2024-05-18T00:00:00+0530,220.45,222.35,211.05,215.3,56400,0
2024-05-21T00:00:00+0530,220.65,220.65,204.55,205.6,246000,0
2024-05-22T00:00:00+0530,207,209.75,195.35,195.35,122400,0
2024-05-23T00:00:00+0530,192,205.1,192,205.1,381600,0
2024-05-24T00:00:00+0530,209.8,209.8,198,199.15,216000,0
2024-05-27T00:00:00+0530,209.1,209.1,209.1,209.1,7200,0
2024-05-28T00:00:00+0530,219.55,219.55,219.55,219.55,6000,0
2024-05-29T00:00:00+0530,230.5,230.5,230.5,230.5,7200,0
2024-05-30T00:00:00+0530,242,242,242,242,16800,0
2024-05-31T00:00:00+0530,254.1,254.1,250,254.1,992400,0
2024-06-03T00:00:00+0530,266.8,266.8,266.8,266.8,16800,0
2024-06-04T00:00:00+0530,280.1,280.1,255.05,280.1,1216800,0
2024-06-05T00:00:00+0530,294.1,294.1,277,294.1,386400,0
2024-06-06T00:00:00+0530,308.8,308.8,308.8,308.8,10800,0
2024-06-07T00:00:00+0530,324.2,324.2,324.2,324.2,4800,0
2024-06-10T00:00:00+0530,340.4,340.4,340.4,340.4,44400,0
2024-06-11T00:00:00+0530,357.4,357.4,357.4,357.4,1200,0
2024-06-12T00:00:00+0530,375.25,375.25,361,375.25,270000,0
2024-06-13T00:00:00+0530,394,394,390,394,128400,0
2024-06-14T00:00:00+0530,400,413.7,374.3,394.2,513600,0
2024-06-18T00:00:00+0530,412,413.9,394.2,413.9,218400,0
2024-06-19T00:00:00+0530,434.55,434.55,426.5,434.55,69600,0
2024-06-20T00:00:00+0530,456,456.25,456,456.25,4800,0
2024-06-21T00:00:00+0530,479.05,479.05,479.05,479.05,27600,0
2024-06-24T00:00:00+0530,503,503,503,503,13200,0
2024-06-25T00:00:00+0530,528.15,528.15,528.15,528.15,16800,0
2024-06-26T00:00:00+0530,549,554.55,501.75,554.55,584400,0
2024-06-27T00:00:00+0530,567,582.25,526.85,528.3,360000,0
2024-06-28T00:00:00+0530,543.95,543.95,501.9,501.9,168000,0
2024-07-01T00:00:00+0530,477.3,526.95,476.8,526.95,318000,0
2024-07-02T00:00:00+0530,553.25,553.25,552,553.25,50400,0
2024-07-03T00:00:00+0530,580.9,580.9,580.9,580.9,9600,0
2024-07-04T00:00:00+0530,609.9,609.9,551.85,551.9,265200,0
2024-07-05T00:00:00+0530,536.25,573,525.7,532.75,225600,0
2024-07-08T00:00:00+0530,534.4,551,516,524.75,98400,0
2024-07-09T00:00:00+0530,524,528.8,498.55,498.55,98400,0
2024-07-10T00:00:00+0530,478,513.95,473.65,476.25,177600,0
2024-07-11T00:00:00+0530,490,500.05,490,493.2,105600,0
2024-07-12T00:00:00+0530,478,483,468.55,469.3,103200,0
2024-07-15T00:00:00+0530,483,483,445.85,445.85,81600,0
2024-07-16T00:00:00+0530,423.55,436,423.55,427.8,156000,0
2024-07-18T00:00:00+0530,406.45,425,406.45,410.6,123600,0
2024-07-19T00:00:00+0530,405,431.1,390.1,428.25,171600,0
2024-07-22T00:00:00+0530,427.7,449.65,406.85,449.65,121200,0
2024-07-23T00:00:00+0530,472.1,472.1,427.2,472.1,154800,0
2024-07-24T00:00:00+0530,485,495.7,483,495.7,50400,0
2024-07-25T00:00:00+0530,495.7,520.45,495.7,520.45,27600,0
2024-07-26T00:00:00+0530,546.45,546.45,497,517,121200,0
2024-07-29T00:00:00+0530,516,516,491.15,491.15,61200,0
2024-07-30T00:00:00+0530,515.7,515.7,495,509,50400,0
2024-07-31T00:00:00+0530,514.8,514.8,483.55,483.55,60000,0
2024-08-01T00:00:00+0530,460.1,460.1,459.4,459.4,37200,0
2024-08-02T00:00:00+0530,437.6,469,436.45,438.25,76800,0
2024-08-05T00:00:00+0530,416.35,437,416.35,416.35,69600,0
2024-08-06T00:00:00+0530,437,437.15,413,425,54000,0
2024-08-07T00:00:00+0530,432,445,424,444.4,24000,0
2024-08-08T00:00:00+0530,448,461,422.2,422.2,42000,0
2024-08-09T00:00:00+0530,443.3,443.3,443.3,443.3,9600,0
2024-08-12T00:00:00+0530,465.45,465.45,451.4,454.05,50400,0
2024-08-13T00:00:00+0530,469.9,476.75,467,476.75,26400,0
2024-08-14T00:00:00+0530,500.5,500.55,487,500.55,86400,0
2024-08-16T00:00:00+0530,510,510,475.55,475.55,62400,0
2024-08-19T00:00:00+0530,475.55,498.95,475.55,495,40800,0
2024-08-20T00:00:00+0530,490,490,470.25,480.25,46800,0
2024-08-21T00:00:00+0530,470,504.25,470,504.25,56400,0
2024-08-22T00:00:00+0530,529.45,529.45,529,529.45,43200,0
2024-08-23T00:00:00+0530,555.9,555.9,555.9,555.9,20400,0
2024-08-26T00:00:00+0530,583.65,583.65,583.65,583.65,10800,0
2024-08-27T00:00:00+0530,612.8,612.8,612.8,612.8,20400,0
2024-08-28T00:00:00+0530,643.4,643.4,643.4,643.4,2400,0
2024-08-29T00:00:00+0530,675.55,675.55,611.25,611.25,199200,0
2024-08-30T00:00:00+0530,590,606,580.7,590.5,67200,0
2024-09-02T00:00:00+0530,612,620,601.5,618.4,72000,0
2024-09-03T00:00:00+0530,620,645,587.5,634.7,78000,0
2024-09-04T00:00:00+0530,623,649,603,639.95,48000,0
2024-09-05T00:00:00+0530,671.9,671.9,671.9,671.9,13200,0
2024-09-06T00:00:00+0530,699,705.45,699,705.45,20400,0
2024-09-09T00:00:00+0530,740.65,740.7,705,740.7,200400,0
2024-09-10T00:00:00+0530,774,774,703.7,703.7,79200,0
2024-09-11T00:00:00+0530,708,709,668.55,668.55,102000,0
2024-09-12T00:00:00+0530,684,687,635.15,640.05,141600,0
2024-09-13T00:00:00+0530,649,649,608.05,612.8,73200,0
2024-09-16T00:00:00+0530,600,634.9,582.2,611.85,124800,0
2024-09-17T00:00:00+0530,610.1,628,581.5,592.9,34800,0
2024-09-18T00:00:00+0530,610,610,563.25,573.1,54000,0
2024-09-19T00:00:00+0530,573,601.75,545,595.15,75600,0
2024-09-20T00:00:00+0530,621,624.9,621,624.9,31200,0
2024-09-23T00:00:00+0530,625,630,600,625,24000,0
2024-09-24T00:00:00+0530,643,643,596.05,617,14400,0
2024-09-25T00:00:00+0530,617,630,600,625,33600,0
2024-09-26T00:00:00+0530,620,620,593.75,594.4,34800,0
2024-09-27T00:00:00+0530,595,605,575,592.75,31200,0
2024-09-30T00:00:00+0530,593,600,575,583.65,21600,0
2024-10-01T00:00:00+0530,575,585,565,580,20400,0
