date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,2607,2616,2556.8,2565.75,697408,0
2023-01-03T00:00:00+0530,2568,2619,2555.05,2613.6,852511,0
2023-01-04T00:00:00+0530,2618.8,2626.25,2585.6,2597.55,832054,0
2023-01-05T00:00:00+0530,2591,2620,2543.65,2562.1,1544601,0
2023-01-06T00:00:00+0530,2560,2584.4,2517,2538.1,879019,0
2023-01-09T00:00:00+0530,2529.95,2529.95,2467.8,2484.65,2324487,0
2023-01-10T00:00:00+0530,2495,2498.7,2456,2468.2,948787,0
2023-01-11T00:00:00+0530,2473,2488.6,2431,2437.4,1000412,0
2023-01-12T00:00:00+0530,2450,2475,2432,2446.6,874520,0
2023-01-13T00:00:00+0530,2456.9,2456.9,2400,2417.2,1416869,0
2023-01-16T00:00:00+0530,2428,2434.8,2392,2405.85,737012,0
2023-01-17T00:00:00+0530,2405,2417.9,2386,2407.95,926137,0
2023-01-18T00:00:00+0530,2418,2429.85,2412.8,2424.1,601233,0
2023-01-19T00:00:00+0530,2392.5,2411.8,2367.2,2385.05,1116874,0
2023-01-20T00:00:00+0530,2389.95,2396.95,2353,2371.3,1229902,0
2023-01-23T00:00:00+0530,2383.95,2384.3,2355.6,2364.7,932554,0
2023-01-24T00:00:00+0530,2372.5,2390.6,2364,2370.75,714000,0
2023-01-25T00:00:00+0530,2370,2370,2333.55,2356.6,650664,0
2023-01-27T00:00:00+0530,2368.4,2368.4,2302.6,2331.25,1238620,0
2023-01-30T00:00:00+0530,2332,2342.85,2287.05,2335.55,1401847,0
2023-01-31T00:00:00+0530,2347,2386.45,2335.65,2377.15,1252600,0
2023-02-01T00:00:00+0530,2408.55,2409.8,2300.05,2345.9,1521514,0
2023-02-02T00:00:00+0530,2341.05,2385,2269.6,2308.1,1788381,0
2023-02-03T00:00:00+0530,2320.1,2470,2320.1,2463.1,3693638,0
2023-02-06T00:00:00+0530,2474.85,2479.95,2447.6,2458,1049075,0
2023-02-07T00:00:00+0530,2456.3,2459.75,2432.1,2446.9,563195,0
2023-02-08T00:00:00+0530,2447,2480,2447,2466.75,539085,0
2023-02-09T00:00:00+0530,2467,2475.65,2451.6,2462.55,464715,0
2023-02-10T00:00:00+0530,2452,2472,2442.05,2468.5,597337,0
2023-02-13T00:00:00+0530,2480,2523.95,2476.15,2519.05,1856317,0
2023-02-14T00:00:00+0530,2528.95,2528.95,2480,2506.9,843477,0
2023-02-15T00:00:00+0530,2503.45,2528.25,2483.3,2524.3,707224,0
2023-02-16T00:00:00+0530,2530,2545.65,2518.1,2522.4,704946,0
2023-02-17T00:00:00+0530,2515,2545.85,2496,2500.3,607239,0
2023-02-20T00:00:00+0530,2500,2507.25,2466.3,2474.15,460090,0
2023-02-21T00:00:00+0530,2485.95,2485.95,2450.5,2463.6,750272,0
2023-02-22T00:00:00+0530,2451.95,2462.8,2414.4,2431.55,1098118,0
2023-02-23T00:00:00+0530,2432.5,2432.5,2380,2394.5,1602078,0
2023-02-24T00:00:00+0530,2400,2413.75,2377.95,2399.1,1145691,0
2023-02-27T00:00:00+0530,2399.1,2412,2373.6,2401,862629,0
2023-02-28T00:00:00+0530,2401.1,2425,2363.6,2372.8,1430349,0
2023-03-01T00:00:00+0530,2370,2396.05,2366.35,2382.4,479935,0
2023-03-02T00:00:00+0530,2382.35,2394.3,2351.75,2358.95,529609,0
2023-03-03T00:00:00+0530,2370,2402,2358.3,2396.1,710845,0
2023-03-06T00:00:00+0530,2412.55,2426.4,2392.6,2403.45,682556,0
2023-03-08T00:00:00+0530,2396.4,2401.2,2372.25,2397.1,858496,0
2023-03-09T00:00:00+0530,2400.8,2407.95,2365,2368.25,601071,0
2023-03-10T00:00:00+0530,2354.85,2379.95,2338,2375.5,543004,0
2023-03-13T00:00:00+0530,2372.75,2376.95,2321,2332,631722,0
2023-03-14T00:00:00+0530,2336.95,2391.85,2328.85,2355.6,1470817,0
2023-03-15T00:00:00+0530,2380,2413.85,2379.95,2399.1,1656307,0
2023-03-16T00:00:00+0530,2413.5,2482,2413,2450.35,2317115,0
2023-03-17T00:00:00+0530,2467.15,2474,2447.4,2455.65,1625905,0
2023-03-20T00:00:00+0530,2462,2474.95,2441.55,2459.95,918922,0
2023-03-21T00:00:00+0530,2475,2521.55,2468.05,2514.05,1652107,0
2023-03-22T00:00:00+0530,2517.95,2524,2495,2508.15,754732,0
