date,open,high,low,close,volume,empty
2025-07-30T00:00:00+0530,68,71.4,64.6,71.4,1666000,0
2025-07-31T00:00:00+0530,69.9,72.1,67.85,67.85,256000,0
2025-08-01T00:00:00+0530,64.55,66.75,64.45,64.45,134000,0
2025-08-04T00:00:00+0530,63.05,63.6,61.25,62.45,92000,0
2025-08-05T00:00:00+0530,62.55,65.55,62.55,63.15,108000,0
2025-08-06T00:00:00+0530,63.3,66,60.1,63,62000,0
2025-08-07T00:00:00+0530,62.7,62.7,61,61.7,22000,0
2025-08-08T00:00:00+0530,61.8,64.75,61.8,64.6,32000,0
2025-08-11T00:00:00+0530,66,67.8,65,67.8,60000,0
2025-08-12T00:00:00+0530,70.7,70.7,67,67.55,56000,0
2025-08-13T00:00:00+0530,68.9,68.9,66.5,68.2,106000,0
2025-08-14T00:00:00+0530,69.5,69.5,67.25,68.6,58000,0
2025-08-18T00:00:00+0530,70,70.5,69,69.3,114000,0
2025-08-19T00:00:00+0530,70,79.3,69.5,73.45,502000,0
2025-08-20T00:00:00+0530,75,76.65,72,72.05,154000,0
2025-08-21T00:00:00+0530,74.45,74.45,71.4,71.65,26000,0
2025-08-22T00:00:00+0530,71.5,71.6,69.95,69.95,16000,0
2025-08-25T00:00:00+0530,71,71.75,70.05,70.05,48000,0
2025-08-26T00:00:00+0530,70,70,66.5,67.5,16000,0
2025-08-28T00:00:00+0530,68.5,71,67,69.5,38000,0
2025-08-29T00:00:00+0530,68.7,72.9,68.7,70,98000,0
2025-09-01T00:00:00+0530,67.75,69.85,67.05,68.4,46000,0
2025-09-02T00:00:00+0530,68.5,71,68.5,69.9,158000,0
2025-09-03T00:00:00+0530,69.9,69.9,67.2,68.95,62000,0
2025-09-04T00:00:00+0530,68,68,65,65.1,40000,0
2025-09-05T00:00:00+0530,65.15,66.5,64.95,66.5,20000,0
