date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,67.05,67.05,67.05,67.05,4000,0
2023-01-09T00:00:00+0530,70.4,70.4,70.4,70.4,4000,0
2023-01-10T00:00:00+0530,73.9,73.9,73.9,73.9,4000,0
2023-01-11T00:00:00+0530,77.55,77.55,77.55,77.55,4000,0
2023-01-12T00:00:00+0530,81.4,81.4,81.4,81.4,20000,0
2023-01-13T00:00:00+0530,85.45,85.45,85.45,85.45,8000,0
2023-01-16T00:00:00+0530,89.7,89.7,89.7,89.7,4000,0
2023-01-17T00:00:00+0530,94.15,94.15,94.15,94.15,16000,0
2023-01-19T00:00:00+0530,98.85,98.85,94.15,94.15,8000,0
2023-01-20T00:00:00+0530,89.5,89.5,89.5,89.5,4000,0
2023-01-23T00:00:00+0530,85.05,85.05,85.05,85.05,4000,0
2023-01-24T00:00:00+0530,80.8,89.3,80.8,89.3,8000,0
2023-01-30T00:00:00+0530,93.7,93.7,93.7,93.7,4000,0
2023-02-07T00:00:00+0530,95,95,95,95,4000,0
2023-02-20T00:00:00+0530,99.25,99.25,99.25,99.25,4000,0
2023-03-01T00:00:00+0530,103.9,103.95,103.9,103.95,8000,0
2023-03-24T00:00:00+0530,98.75,98.75,98.75,98.75,12000,0
2023-03-27T00:00:00+0530,94.1,94.1,94.1,94.1,8000,0
2023-03-28T00:00:00+0530,92.6,92.6,92.6,92.6,8000,0
2023-03-29T00:00:00+0530,94.2,94.2,94.2,94.2,8000,0
2023-03-31T00:00:00+0530,89.5,89.5,89.5,89.5,4000,0
2023-04-18T00:00:00+0530,85.05,85.05,85.05,85.05,4000,0
2023-04-24T00:00:00+0530,86.9,86.9,86.9,86.9,4000,0
2023-05-10T00:00:00+0530,91.2,91.2,91.2,91.2,2000,0
2023-05-11T00:00:00+0530,92,92,92,92,2000,0
2023-05-12T00:00:00+0530,96.6,96.6,96.6,96.6,4000,0
2023-05-15T00:00:00+0530,101.4,101.4,101.4,101.4,2000,0
2023-05-22T00:00:00+0530,105.65,106,105.65,106,6000,0
2023-05-29T00:00:00+0530,100.7,100.7,100.7,100.7,2000,0
2023-05-31T00:00:00+0530,95.7,95.7,95.7,95.7,2000,0
2023-06-01T00:00:00+0530,90.95,90.95,90.95,90.95,4000,0
2023-06-05T00:00:00+0530,86.6,86.6,86.4,86.4,6000,0
2023-06-06T00:00:00+0530,82.1,82.1,82.1,82.1,4000,0
2023-06-13T00:00:00+0530,86.2,86.2,86.2,86.2,2000,0
2023-06-14T00:00:00+0530,90.5,90.5,90.5,90.5,4000,0
2023-06-30T00:00:00+0530,87.1,87.1,87.1,87.1,4000,0
2023-07-25T00:00:00+0530,85,85,85,85,4000,0
2023-07-28T00:00:00+0530,84.9,84.9,84.9,84.9,2000,0
2023-08-22T00:00:00+0530,84,84,84,84,2000,0
