date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,35.6,35.7,34.1,35.65,32000,0
2023-01-03T00:00:00+0530,34.5,35,34.5,35,16000,0
2023-01-04T00:00:00+0530,35,35.5,34.05,35.5,24000,0
2023-01-05T00:00:00+0530,35.9,35.9,35,35.05,20000,0
2023-01-06T00:00:00+0530,35,35,35,35,4000,0
2023-01-09T00:00:00+0530,33.85,35.7,33,34.85,24000,0
2023-01-10T00:00:00+0530,35.75,35.9,35.75,35.8,8000,0
2023-01-11T00:00:00+0530,36.1,36.3,36.1,36.2,24000,0
2023-01-12T00:00:00+0530,36.15,36.35,36.15,36.25,8000,0
2023-01-13T00:00:00+0530,36.95,37.45,36.95,37.45,12000,0
2023-01-16T00:00:00+0530,37.7,37.7,37.7,37.7,4000,0
2023-01-17T00:00:00+0530,37.5,38.5,37.4,38.5,52000,0
2023-01-18T00:00:00+0530,41.25,42.5,40,40,24000,0
2023-01-19T00:00:00+0530,40.1,40.3,40.1,40.3,8000,0
2023-01-20T00:00:00+0530,40,40,40,40,4000,0
2023-01-23T00:00:00+0530,40.5,42,40.5,41.9,12000,0
2023-01-24T00:00:00+0530,43,45,42.5,44,40000,0
2023-01-25T00:00:00+0530,44.2,47.9,44.15,46.55,52000,0
2023-01-27T00:00:00+0530,46,46,43.1,43.45,12000,0
2023-01-30T00:00:00+0530,43,43.25,43,43.25,8000,0
2023-01-31T00:00:00+0530,42,42,42,42,4000,0
2023-02-01T00:00:00+0530,44,44.75,42,42,32000,0
2023-02-02T00:00:00+0530,42.2,42.4,42.2,42.4,8000,0
2023-02-06T00:00:00+0530,45,46.8,45,45.9,8000,0
2023-02-07T00:00:00+0530,45.4,45.45,44,44.2,52000,0
2023-02-08T00:00:00+0530,45,45,45,45,4000,0
2023-02-09T00:00:00+0530,45,45,44.5,44.5,16000,0
2023-02-10T00:00:00+0530,44.8,44.8,42.1,43.9,16000,0
2023-02-13T00:00:00+0530,43.9,43.9,43.9,43.9,4000,0
2023-02-15T00:00:00+0530,44,44.8,44,44.8,56000,0
2023-02-20T00:00:00+0530,42.6,42.6,42.6,42.6,4000,0
2023-02-21T00:00:00+0530,43.9,45,43.9,45,12000,0
2023-02-22T00:00:00+0530,42.8,42.8,42.8,42.8,4000,0
2023-02-23T00:00:00+0530,42,42.4,40.9,41.1,32000,0
2023-02-24T00:00:00+0530,40,40.7,40,40.7,16000,0
2023-03-01T00:00:00+0530,44,44,41.15,41.15,8000,0
2023-03-03T00:00:00+0530,40,42.9,40,42.4,44000,0
2023-03-08T00:00:00+0530,36,41.35,36,41.35,12000,0
2023-03-09T00:00:00+0530,43.2,43.2,43.2,43.2,4000,0
2023-03-13T00:00:00+0530,43.2,43.95,43.2,43.95,28000,0
2023-03-14T00:00:00+0530,43.95,44,43.95,44,28000,0
2023-03-15T00:00:00+0530,42.2,43.2,42.2,42.9,44000,0
2023-03-16T00:00:00+0530,40.85,40.85,40.85,40.85,4000,0
2023-03-17T00:00:00+0530,41.8,41.8,41.8,41.8,8000,0
2023-03-20T00:00:00+0530,41.8,45,41.8,43.2,16000,0
2023-03-21T00:00:00+0530,43.45,47.9,43.45,46.7,12000,0
2023-03-23T00:00:00+0530,45,45.5,45,45.5,16000,0
2023-03-24T00:00:00+0530,45,45.2,45,45.2,8000,0
2023-03-27T00:00:00+0530,44,44.2,43.9,44.1,16000,0
2023-03-28T00:00:00+0530,41,45.5,41,43,20000,0
2023-03-29T00:00:00+0530,41.05,41.95,39.05,39.05,16000,0
2023-03-31T00:00:00+0530,40.5,40.7,39.2,40.15,32000,0
2023-04-05T00:00:00+0530,41,41.7,40.9,41.1,28000,0
2023-04-10T00:00:00+0530,40.5,40.7,40.4,40.6,16000,0
2023-04-12T00:00:00+0530,40.2,40.5,40,40,20000,0
2023-04-13T00:00:00+0530,41.35,41.35,41.35,41.35,4000,0
