date,open,high,low,close,volume,empty
2023-10-10T00:00:00+0530,73,76.65,73,76.65,3144000,0
2023-10-11T00:00:00+0530,80.45,80.45,80.45,80.45,272000,0
2023-10-12T00:00:00+0530,84.45,84.45,84.45,84.45,112000,0
2023-10-13T00:00:00+0530,88.65,88.65,88.65,88.65,182000,0
2023-10-16T00:00:00+0530,93.05,93.05,93.05,93.05,116000,0
2023-10-17T00:00:00+0530,97.7,97.7,97.7,97.7,286000,0
2023-10-18T00:00:00+0530,102.55,102.55,102.55,102.55,282000,0
2023-10-19T00:00:00+0530,105.4,107.65,98.05,107.65,1918000,0
2023-10-20T00:00:00+0530,113,113,113,113,50000,0
2023-10-23T00:00:00+0530,118.65,118.65,118.65,118.65,80000,0
2023-10-25T00:00:00+0530,119.95,127.8,109.55,119.65,1288000,0
2023-10-26T00:00:00+0530,116,131.6,115.85,131.6,724000,0
2023-10-27T00:00:00+0530,139.9,144.75,137,144.75,374000,0
2023-10-30T00:00:00+0530,150,159.2,144.75,159.2,454000,0
2023-10-31T00:00:00+0530,158.8,158.8,151.25,153.1,750000,0
2023-11-01T00:00:00+0530,160.75,160.75,156.15,160,498000,0
2023-11-02T00:00:00+0530,164.4,166.95,152.5,155.85,322000,0
2023-11-03T00:00:00+0530,158,163,149.05,160.25,332000,0
2023-11-06T00:00:00+0530,160.05,168.25,160.05,168.25,666000,0
2023-11-07T00:00:00+0530,171,176.65,168.05,176.65,298000,0
2023-11-08T00:00:00+0530,182,185.45,179,185.45,280000,0
2023-11-09T00:00:00+0530,189.8,194.7,189.8,194.7,200000,0
2023-11-10T00:00:00+0530,198,204.4,187.5,202.7,340000,0
2023-11-12T00:00:00+0530,206.5,208,192.6,197.45,220000,0
2023-11-13T00:00:00+0530,195.3,207.3,195,207.3,142000,0
2023-11-15T00:00:00+0530,217.65,217.65,217.65,217.65,4000,0
2023-11-16T00:00:00+0530,226.95,226.95,210.6,213.3,480000,0
2023-11-17T00:00:00+0530,209.5,223.95,205,220.9,294000,0
2023-11-20T00:00:00+0530,224.9,229,210,212.15,140000,0
2023-11-21T00:00:00+0530,215.8,222.75,211.25,222.75,362000,0
2023-11-22T00:00:00+0530,232.8,232.8,232.8,232.8,30000,0
2023-11-23T00:00:00+0530,244.4,244.4,244.4,244.4,18000,0
2023-11-24T00:00:00+0530,256.6,256.6,256.6,256.6,6000,0
2023-11-28T00:00:00+0530,269.4,269.4,260,269.4,156000,0
2023-11-29T00:00:00+0530,282.85,282.85,263,282.85,160000,0
2023-11-30T00:00:00+0530,296.95,296.95,296.95,296.95,54000,0
2023-12-01T00:00:00+0530,311.75,311.75,306.4,311.75,194000,0
2023-12-04T00:00:00+0530,327.3,327.3,314.5,326.35,264000,0
2023-12-05T00:00:00+0530,311,342.65,310.05,336.25,496000,0
2023-12-06T00:00:00+0530,341.8,346,325,342.65,134000,0
2023-12-07T00:00:00+0530,348,359.75,348,359.75,104000,0
2023-12-08T00:00:00+0530,377.7,377.7,377.7,377.7,12000,0
2023-12-11T00:00:00+0530,396.55,396.55,380.05,396.55,290000,0
2023-12-12T00:00:00+0530,397,398,376.75,376.75,160000,0
2023-12-13T00:00:00+0530,357.95,380,357.95,372.75,286000,0
2023-12-14T00:00:00+0530,385,385,354.15,358.3,270000,0
2023-12-15T00:00:00+0530,341.4,354,340.4,340.4,158000,0
2023-12-18T00:00:00+0530,329.15,357.4,323.4,357.4,666000,0
2023-12-19T00:00:00+0530,368,375.25,365.35,375.25,216000,0
2023-12-20T00:00:00+0530,393.9,394,372,388.6,354000,0
2023-12-21T00:00:00+0530,388.6,408,374,408,240000,0
2023-12-22T00:00:00+0530,428.4,428.4,428.4,428.4,30000,0
2023-12-26T00:00:00+0530,449.8,449.8,420.1,445.5,276000,0
2023-12-27T00:00:00+0530,453,453.9,423.25,423.25,122000,0
2023-12-28T00:00:00+0530,402.1,423.7,402.1,402.1,198000,0
2023-12-29T00:00:00+0530,392.3,422.2,382,422.2,274000,0
2024-01-01T00:00:00+0530,427,439,418,428.35,58000,0
2024-01-02T00:00:00+0530,430,430,410,422,56000,0
2024-01-03T00:00:00+0530,422,422,400.9,402.1,58000,0
2024-01-04T00:00:00+0530,405,422.2,403,422.2,144000,0
2024-01-05T00:00:00+0530,443,443.3,434,443.3,142000,0
2024-01-08T00:00:00+0530,465.45,465.45,438.25,442.05,144000,0
2024-01-09T00:00:00+0530,448.7,464.15,426.6,454.65,208000,0
2024-01-10T00:00:00+0530,444,449.6,435,438.4,34000,0
2024-01-11T00:00:00+0530,440,454.9,440,448,14000,0
2024-01-12T00:00:00+0530,437.5,447,433.1,434.05,26000,0
2024-01-15T00:00:00+0530,421.5,427,412.35,415.35,64000,0
2024-01-16T00:00:00+0530,401.25,410.4,394.6,394.6,74000,0
