date,open,high,low,close,volume,empty
2024-04-01T00:00:00+0530,85,85.7,80.75,83.6,924800,0
2024-04-02T00:00:00+0530,84.5,84.5,80.15,80.55,184000,0
2024-04-03T00:00:00+0530,80,80,77,78.55,137600,0
2024-04-04T00:00:00+0530,77.5,82.45,77.5,80.5,166400,0
2024-04-05T00:00:00+0530,81.25,84.5,80,84.5,116800,0
2024-04-08T00:00:00+0530,87,87.75,84.65,85.55,100800,0
2024-04-09T00:00:00+0530,86,86.5,83,83.45,43200,0
2024-04-10T00:00:00+0530,82.9,83.8,80.5,83.4,72000,0
2024-04-12T00:00:00+0530,82.5,86,81.05,84.9,89600,0
2024-04-15T00:00:00+0530,85.05,85.5,82,84.3,59200,0
2024-04-16T00:00:00+0530,85.5,86.8,84.3,86,240000,0
2024-04-18T00:00:00+0530,86.8,87.95,85.6,86.65,179200,0
2024-04-19T00:00:00+0530,85.2,86,84,85.3,62400,0
2024-04-22T00:00:00+0530,86.1,87.5,85.4,86.85,72000,0
2024-04-23T00:00:00+0530,86,94.05,85.95,93.75,345600,0
2024-04-24T00:00:00+0530,94.4,96.7,90.05,91,75200,0
2024-04-25T00:00:00+0530,91.5,96.4,91.5,94.5,115200,0
2024-04-26T00:00:00+0530,95.85,95.85,92.2,92.75,57600,0
2024-04-29T00:00:00+0530,94.65,94.65,91.55,92.15,36800,0
2024-04-30T00:00:00+0530,93,93,88.5,89,60800,0
2024-05-02T00:00:00+0530,91,91,86.1,87.65,54400,0
2024-05-03T00:00:00+0530,88.65,88.65,86,86,51200,0
2024-05-06T00:00:00+0530,85.5,93.4,84,92.65,174400,0
2024-05-07T00:00:00+0530,92.6,93.05,88.3,89.1,60800,0
2024-05-08T00:00:00+0530,91.35,95,88,93.95,212800,0
2024-05-09T00:00:00+0530,94.95,95.5,89,89.8,73600,0
2024-05-10T00:00:00+0530,88.5,90.9,87,90.25,41600,0
2024-05-13T00:00:00+0530,90.9,91.55,89.05,90.5,20800,0
2024-05-14T00:00:00+0530,92.5,92.5,89.3,89.75,24000,0
2024-05-15T00:00:00+0530,88.6,89.1,88,88.1,30400,0
2024-05-16T00:00:00+0530,88.2,89,87.1,87.1,11200,0
2024-05-17T00:00:00+0530,87.1,87.1,87,87,3200,0
2024-05-18T00:00:00+0530,86.65,86.65,86.65,86.65,1600,0
2024-05-21T00:00:00+0530,86.5,86.95,85.5,85.6,25600,0
2024-05-22T00:00:00+0530,87,88.3,85.2,86.75,52800,0
