date,open,high,low,close,volume,empty
2024-07-03T00:00:00+0530,240,252,240,252,2045471,0
2024-07-04T00:00:00+0530,264.6,264.6,264.6,264.6,200911,0
2024-07-05T00:00:00+0530,273,273,253.35,260.14,1826577,0
2024-07-08T00:00:00+0530,259.89,259.89,247.13,247.13,263078,0
2024-07-09T00:00:00+0530,235.55,244.7,234.77,237.88,734821,0
2024-07-10T00:00:00+0530,233.01,242.88,226.05,240.12,525942,0
2024-07-11T00:00:00+0530,240,240,235.5,236.76,126955,0
2024-07-12T00:00:00+0530,238.89,238.89,230.6,233.07,159544,0
2024-07-15T00:00:00+0530,236.95,237.75,233.15,235.19,157733,0
2024-07-16T00:00:00+0530,237,246.94,234,246.23,522626,0
2024-07-18T00:00:00+0530,247,256.65,240.06,246.97,1380041,0
2024-07-19T00:00:00+0530,248.7,248.7,233,236.17,353244,0
2024-07-22T00:00:00+0530,236.17,246,233.15,239.03,190610,0
2024-07-23T00:00:00+0530,240,243.85,225.01,236.88,197540,0
2024-07-24T00:00:00+0530,239.99,241.97,233.7,236.11,193149,0
2024-07-25T00:00:00+0530,234,250.99,233,239.98,210529,0
2024-07-26T00:00:00+0530,241.9,242.9,235.82,238.55,159504,0
2024-07-29T00:00:00+0530,241.8,241.99,229.1,233.36,221593,0
2024-07-30T00:00:00+0530,231,238,231,234.42,147538,0
2024-07-31T00:00:00+0530,235,236,228.6,229.64,190682,0
2024-08-01T00:00:00+0530,233.44,233.44,220,223.99,249414,0
2024-08-02T00:00:00+0530,223.6,234,220.98,226.31,202659,0
2024-08-05T00:00:00+0530,224.25,224.25,210.85,212.46,342398,0
2024-08-06T00:00:00+0530,213.1,218.2,210.96,212.25,103865,0
2024-08-07T00:00:00+0530,214.8,220.8,212.6,217.78,120445,0
2024-08-08T00:00:00+0530,218.4,230.6,215.82,218.04,387054,0
2024-08-09T00:00:00+0530,223,224.59,220.78,222.39,62598,0
2024-08-12T00:00:00+0530,220,222.97,214.85,216.98,101094,0
2024-08-13T00:00:00+0530,217,219.99,212,213.08,114634,0
2024-08-14T00:00:00+0530,213.08,222,212.51,216,118145,0
2024-08-16T00:00:00+0530,218.9,222,213.76,214.61,101069,0
2024-08-19T00:00:00+0530,218.9,218.9,209.9,212.89,160511,0
2024-08-20T00:00:00+0530,215.87,216.09,212.51,212.74,103545,0
2024-08-21T00:00:00+0530,215,218.99,212.46,215.27,201852,0
2024-08-22T00:00:00+0530,216.78,218.78,213.5,215.81,92995,0
2024-08-23T00:00:00+0530,215.81,224.49,215.81,221.15,183073,0
2024-08-26T00:00:00+0530,223.45,224.85,219,222.15,209185,0
2024-08-27T00:00:00+0530,222.15,227.5,222,223.12,190579,0
2024-08-28T00:00:00+0530,224.4,224.4,218,219.66,119040,0
2024-08-29T00:00:00+0530,222,222,215.5,217.46,94657,0
2024-08-30T00:00:00+0530,216.3,219.39,216,217.24,47570,0
2024-09-02T00:00:00+0530,220,225.1,215.05,223.58,457394,0
2024-09-03T00:00:00+0530,224.7,225,218.25,219.19,162911,0
2024-09-04T00:00:00+0530,219,221.23,215.84,217.82,78351,0
2024-09-05T00:00:00+0530,219.57,219.7,215.7,215.92,65404,0
2024-09-06T00:00:00+0530,216,218.29,213.31,214.6,85573,0
2024-09-09T00:00:00+0530,212.27,217,210.68,211.83,90145,0
2024-09-10T00:00:00+0530,227.99,254.19,221.53,246.77,5436574,0
2024-09-11T00:00:00+0530,250,276.84,249.01,260.25,4437346,0
2024-09-12T00:00:00+0530,266.2,274.85,250.01,252.37,1893919,0
2024-09-13T00:00:00+0530,255.9,263.14,253,258.05,754581,0
2024-09-16T00:00:00+0530,259.02,260,248.33,251.22,442638,0
2024-09-17T00:00:00+0530,249,250.89,241,242.64,357296,0
2024-09-18T00:00:00+0530,241,258,240.45,252.22,705495,0
2024-09-19T00:00:00+0530,253.65,256,242.3,245.97,347360,0
2024-09-20T00:00:00+0530,247.24,249.9,242.5,246.53,198969,0
2024-09-23T00:00:00+0530,248,268.9,246.9,263.05,1400173,0
2024-09-24T00:00:00+0530,263.01,296.7,258.21,282.27,3824247,0
2024-09-25T00:00:00+0530,282,293.9,276.21,279.88,1482586,0
2024-09-26T00:00:00+0530,279.42,282,269.1,270.76,405471,0
2024-09-27T00:00:00+0530,270.76,294.7,268.47,271.36,1434912,0
2024-09-30T00:00:00+0530,275,290,264,267.42,1486720,0
2024-10-01T00:00:00+0530,266.8,270.4,261.1,262.55,323958,0
2024-10-03T00:00:00+0530,258,274,253.25,262.9,872961,0
2024-10-04T00:00:00+0530,263,267,244.6,252.65,494546,0
2024-10-07T00:00:00+0530,253,254.45,225.95,238.95,1020311,0
2024-10-08T00:00:00+0530,238.2,247.8,233.8,245.3,394552,0
2024-10-09T00:00:00+0530,247.7,253.45,243.1,244.35,297758,0
2024-10-10T00:00:00+0530,247.25,248.6,241.1,242.25,242194,0
2024-10-11T00:00:00+0530,243.8,246.9,239.1,243.45,133504,0
2024-10-14T00:00:00+0530,245,247.4,238.25,239.1,136156,0
2024-10-15T00:00:00+0530,238,244.9,235.05,242.4,171398,0
2024-10-16T00:00:00+0530,242.5,242.95,237.5,238.45,75882,0
2024-10-17T00:00:00+0530,238.3,238.45,233.25,234.5,119884,0
2024-10-18T00:00:00+0530,232.15,242,228.15,238.3,135044,0
2024-10-21T00:00:00+0530,238.55,239.9,225.4,231.55,282458,0
2024-10-22T00:00:00+0530,233.85,233.85,223,223.5,153950,0
2024-10-23T00:00:00+0530,224,229.4,218.8,226.2,125295,0
2024-10-24T00:00:00+0530,225,228,220.9,221.75,76254,0
2024-10-25T00:00:00+0530,220.05,226.7,215.5,222.7,110326,0
2024-10-28T00:00:00+0530,226.45,228.8,220.1,222.9,113169,0
2024-10-29T00:00:00+0530,222.15,225.55,221.15,223.6,74669,0
2024-10-30T00:00:00+0530,224.55,227.2,222.2,225.8,94002,0
2024-10-31T00:00:00+0530,222.45,239.55,219.05,222.85,426307,0
2024-11-01T00:00:00+0530,229.49,233.52,225.01,228,59969,0
2024-11-04T00:00:00+0530,229.95,231.99,221.41,224.18,133774,0
2024-11-05T00:00:00+0530,224.18,227.48,222.51,225.33,98419,0
2024-11-06T00:00:00+0530,228,233.7,227.01,232.46,120348,0
2024-11-07T00:00:00+0530,234.99,246.1,234.3,241.04,440551,0
2024-11-08T00:00:00+0530,243.45,244,231.1,232.55,190134,0
2024-11-11T00:00:00+0530,237.89,237.89,228.63,231.16,94182,0
2024-11-12T00:00:00+0530,231,235.85,222.11,223.67,96083,0
2024-11-13T00:00:00+0530,218,220.5,212.15,216.67,209744,0
2024-11-14T00:00:00+0530,216,221,215.11,218.69,66120,0
2024-11-18T00:00:00+0530,216.2,218.69,212.95,213.74,72470,0
2024-11-19T00:00:00+0530,215.9,224,215.84,220.68,65084,0
2024-11-21T00:00:00+0530,219.99,219.99,211.21,212.6,93659,0
2024-11-22T00:00:00+0530,213,219.99,213,216.58,90478,0
2024-11-25T00:00:00+0530,223.8,226,218,218.9,36569,0
2024-11-26T00:00:00+0530,217.98,221.25,214.01,215.06,86229,0
2024-11-27T00:00:00+0530,215.06,219,213.61,217.8,75909,0
2024-11-28T00:00:00+0530,216.26,225.3,216.26,223,117623,0
2024-11-29T00:00:00+0530,223.59,224.9,218.3,222.4,86431,0
2024-12-02T00:00:00+0530,222,227.35,221.05,222.55,69257,0
2024-12-03T00:00:00+0530,222.55,226,222.25,223.66,83677,0
2024-12-04T00:00:00+0530,223.65,227,222.05,224.25,69051,0
2024-12-05T00:00:00+0530,226.95,226.95,220.25,222.96,62794,0
2024-12-06T00:00:00+0530,225.9,231.4,222.61,228.83,143249,0
2024-12-09T00:00:00+0530,232,232.79,227.1,229.28,58756,0
2024-12-10T00:00:00+0530,227,230.6,225.31,228.33,90389,0
2024-12-11T00:00:00+0530,233,255.88,229.11,248.79,1726707,0
2024-12-12T00:00:00+0530,249,249,240,241.52,230024,0
2024-12-13T00:00:00+0530,241,241.59,231.02,232.52,196108,0
2024-12-16T00:00:00+0530,233.4,239.52,231.91,235.27,127195,0
2024-12-17T00:00:00+0530,234.95,234.95,227.2,229.47,102573,0
2024-12-18T00:00:00+0530,229.47,231.38,221.65,222.97,101084,0
