date,open,high,low,close,volume,empty
2025-06-19T00:00:00+0530,165.07,173.32,165.07,173.32,5973,0
2025-06-20T00:00:00+0530,181.98,181.98,181.98,181.98,3279,0
2025-06-23T00:00:00+0530,191.07,191.07,191.07,191.07,4588,0
2025-06-24T00:00:00+0530,200.62,200.62,200.62,200.62,1073,0
2025-06-25T00:00:00+0530,210.65,210.65,210.65,210.65,3006,0
2025-06-26T00:00:00+0530,221.18,221.18,221.18,221.18,795,0
2025-06-27T00:00:00+0530,232.23,232.23,232.23,232.23,1361,0
2025-07-07T00:00:00+0530,243.84,243.84,243.84,243.84,3856,0
2025-07-14T00:00:00+0530,256.03,256.03,256.03,256.03,2302,0
2025-07-21T00:00:00+0530,268.83,268.83,268.83,268.83,3278,0
2025-07-28T00:00:00+0530,282.27,282.27,282.27,282.27,1797,0
2025-08-01T00:00:00+0530,296.4,296.4,296.4,296.4,1507,0
2025-08-04T00:00:00+0530,311.2,311.2,311.2,311.2,1802,0
2025-08-05T00:00:00+0530,326.75,326.75,326.75,326.75,878,0
2025-08-06T00:00:00+0530,343.05,343.05,343.05,343.05,1050,0
2025-08-07T00:00:00+0530,360.2,360.2,360.2,360.2,1077,0
2025-08-08T00:00:00+0530,378.2,378.2,378.2,378.2,1393,0
2025-08-18T00:00:00+0530,397.1,397.1,397.1,397.1,2532,0
2025-08-25T00:00:00+0530,416.95,416.95,416.95,416.95,3313,0
2025-09-01T00:00:00+0530,437.75,437.75,437.75,437.75,3189,0
