date,open,high,low,close,volume,empty
2025-07-10T00:00:00+0530,77,80.85,77,80.85,716800,0
2025-07-11T00:00:00+0530,84.85,84.85,81.25,84.85,971200,0
2025-07-14T00:00:00+0530,80.6,80.9,80.6,80.6,49600,0
2025-07-15T00:00:00+0530,76.6,81,76.6,76.6,478400,0
2025-07-16T00:00:00+0530,72.8,72.8,72.8,72.8,46400,0
2025-07-17T00:00:00+0530,69.2,76.4,69.2,76.4,284800,0
2025-07-18T00:00:00+0530,72.7,79.4,72.7,75.5,116800,0
2025-07-21T00:00:00+0530,75.95,75.95,75.95,75.95,1600,0
2025-07-22T00:00:00+0530,75,75,72.15,72.15,24000,0
2025-07-23T00:00:00+0530,68.55,68.55,68.55,68.55,16000,0
2025-07-24T00:00:00+0530,66,67.7,54.85,65.85,483200,0
2025-07-25T00:00:00+0530,65.85,76.5,63.1,70.2,206400,0
2025-07-28T00:00:00+0530,70,78.5,70,77.65,153600,0
2025-07-29T00:00:00+0530,79,87.8,79,81.45,184000,0
2025-07-30T00:00:00+0530,84.8,85,80.25,84.75,70400,0
2025-07-31T00:00:00+0530,84.75,90.5,84.75,88.2,128000,0
2025-08-01T00:00:00+0530,89.5,90.1,83,83,56000,0
2025-08-04T00:00:00+0530,84.95,86.9,83.4,84.8,56000,0
2025-08-05T00:00:00+0530,87.95,91.95,77.4,79.9,203200,0
2025-08-06T00:00:00+0530,79.5,79.5,76.1,79,70400,0
2025-08-07T00:00:00+0530,79,81.9,77,81.45,9600,0
2025-08-08T00:00:00+0530,80.3,84.7,73.8,74.7,73600,0
2025-08-11T00:00:00+0530,77.95,77.95,75.5,75.5,3200,0
2025-08-12T00:00:00+0530,75.4,90,75.4,89.35,88000,0
2025-08-13T00:00:00+0530,90.5,94.8,86,88.45,142400,0
2025-08-14T00:00:00+0530,86.55,88.3,84.5,87,100800,0
2025-08-18T00:00:00+0530,88.05,93,81,81.55,142400,0
2025-08-19T00:00:00+0530,84.95,86.95,84.8,85,134400,0
2025-08-20T00:00:00+0530,84.85,85,81.65,81.8,64000,0
2025-08-21T00:00:00+0530,82.25,85.1,82.1,85,68800,0
2025-08-22T00:00:00+0530,85,86,84.5,84.5,20800,0
2025-08-25T00:00:00+0530,84.5,84.5,82.6,82.7,6400,0
2025-08-26T00:00:00+0530,82.7,84.2,82,82,6400,0
2025-08-28T00:00:00+0530,77.35,77.35,75.55,76.2,22400,0
2025-08-29T00:00:00+0530,79.95,79.95,79.5,79.5,65600,0
2025-09-01T00:00:00+0530,80,80.25,76,80.1,100800,0
2025-09-02T00:00:00+0530,83.5,91.9,83.5,85.05,91200,0
2025-09-03T00:00:00+0530,88.5,92.2,86.1,88.5,110400,0
2025-09-04T00:00:00+0530,90,90,84,84,70400,0
2025-09-05T00:00:00+0530,84,84,84,84,8000,0
