date,open,high,low,close,volume,empty
2023-09-26T00:00:00+0530,9,9,8.55,8.55,138685,0
2023-09-27T00:00:00+0530,8.15,8.15,8.15,8.15,20318,0
2023-09-28T00:00:00+0530,8,8,8,8,4201,0
2023-09-29T00:00:00+0530,7.85,7.85,7.85,7.85,2703,0
2023-10-03T00:00:00+0530,7.7,7.7,7.7,7.7,3145,0
2023-10-04T00:00:00+0530,7.55,7.55,7.55,7.55,4686,0
2023-10-05T00:00:00+0530,7.4,7.4,7.4,7.4,4075,0
2023-10-06T00:00:00+0530,7.25,7.25,7.25,7.25,4606,0
2023-10-09T00:00:00+0530,7.1,7.1,7.1,7.1,4054,0
2023-10-10T00:00:00+0530,6.95,6.95,6.95,6.95,5051,0
2023-10-11T00:00:00+0530,6.85,6.85,6.85,6.85,8799,0
2023-10-12T00:00:00+0530,6.75,6.75,6.75,6.75,7031,0
2023-10-13T00:00:00+0530,6.65,6.65,6.65,6.65,5393,0
2023-10-16T00:00:00+0530,6.55,6.55,6.55,6.55,15787,0
2023-10-17T00:00:00+0530,6.45,6.45,6.45,6.45,23610,0
2023-10-18T00:00:00+0530,6.35,6.35,6.35,6.35,3572,0
2023-10-19T00:00:00+0530,6.25,6.25,6.25,6.25,9161,0
2023-10-20T00:00:00+0530,6.15,6.15,6.15,6.15,10623,0
2023-10-23T00:00:00+0530,6.05,6.05,6.05,6.05,5042,0
2023-10-25T00:00:00+0530,5.95,5.95,5.95,5.95,3652,0
2023-10-26T00:00:00+0530,5.85,5.85,5.85,5.85,1079,0
2023-10-27T00:00:00+0530,5.75,5.75,5.75,5.75,18748,0
2023-10-30T00:00:00+0530,5.65,5.65,5.65,5.65,7869,0
2023-10-31T00:00:00+0530,5.55,5.55,5.55,5.55,5793,0
2023-11-01T00:00:00+0530,5.45,5.45,5.45,5.45,8730,0
2023-11-02T00:00:00+0530,5.35,5.35,5.35,5.35,7527,0
2023-11-03T00:00:00+0530,5.25,5.25,5.25,5.25,4612,0
2023-11-06T00:00:00+0530,5.15,5.15,5.15,5.15,7188,0
2023-11-07T00:00:00+0530,5.05,5.25,5.05,5.05,496078,0
2023-11-08T00:00:00+0530,4.95,4.95,4.95,4.95,15962,0
2023-11-09T00:00:00+0530,4.85,4.85,4.85,4.85,8933,0
2023-11-10T00:00:00+0530,4.75,4.75,4.75,4.75,9262,0
2023-11-12T00:00:00+0530,4.65,4.65,4.65,4.65,29701,0
2023-11-13T00:00:00+0530,4.55,4.55,4.55,4.55,10717,0
2023-11-15T00:00:00+0530,4.45,4.6,4.45,4.45,260622,0
2023-11-16T00:00:00+0530,4.4,4.4,4.4,4.4,19458,0
2023-11-17T00:00:00+0530,4.35,4.35,4.35,4.35,16723,0
2023-11-20T00:00:00+0530,4.3,4.3,4.3,4.3,7994,0
2023-11-21T00:00:00+0530,4.25,4.25,4.25,4.25,9034,0
2023-11-22T00:00:00+0530,4.2,4.2,4.2,4.2,9658,0
2023-11-23T00:00:00+0530,4.15,4.15,4.15,4.15,8364,0
2023-11-24T00:00:00+0530,4.1,4.1,4.1,4.1,6309,0
2023-11-28T00:00:00+0530,4.05,4.05,4.05,4.05,10845,0
2023-11-29T00:00:00+0530,4,4,4,4,19233,0
2023-11-30T00:00:00+0530,3.95,4,3.95,3.95,98974,0
2023-12-01T00:00:00+0530,3.9,3.9,3.9,3.9,23560,0
2023-12-04T00:00:00+0530,3.85,3.85,3.85,3.85,37036,0
2023-12-05T00:00:00+0530,3.8,3.8,3.8,3.8,42676,0
2023-12-06T00:00:00+0530,3.75,3.75,3.75,3.75,13816,0
2023-12-07T00:00:00+0530,3.7,3.7,3.7,3.7,31679,0
2023-12-08T00:00:00+0530,3.65,3.65,3.65,3.65,19233,0
2023-12-11T00:00:00+0530,3.6,3.6,3.6,3.6,28717,0
2023-12-12T00:00:00+0530,3.55,3.55,3.55,3.55,48977,0
2023-12-13T00:00:00+0530,3.5,3.5,3.5,3.5,42037,0
2023-12-14T00:00:00+0530,3.45,3.45,3.45,3.45,35890,0
2023-12-15T00:00:00+0530,3.4,3.45,3.4,3.4,186174,0
2023-12-18T00:00:00+0530,3.4,3.45,3.35,3.4,466843,0
2023-12-19T00:00:00+0530,3.45,3.45,3.4,3.45,176061,0
2023-12-20T00:00:00+0530,3.5,3.5,3.5,3.5,26173,0
2023-12-21T00:00:00+0530,3.55,3.55,3.5,3.55,105967,0
2023-12-22T00:00:00+0530,3.6,3.6,3.5,3.6,243561,0
2023-12-26T00:00:00+0530,3.65,3.65,3.55,3.55,176460,0
2023-12-27T00:00:00+0530,3.5,3.5,3.5,3.5,15322,0
2023-12-28T00:00:00+0530,3.45,3.45,3.45,3.45,43467,0
2023-12-29T00:00:00+0530,3.4,3.4,3.4,3.4,16478,0
2024-01-01T00:00:00+0530,3.35,3.45,3.35,3.4,229475,0
2024-01-02T00:00:00+0530,3.35,3.45,3.35,3.45,159644,0
2024-01-03T00:00:00+0530,3.5,3.5,3.4,3.5,88817,0
2024-01-04T00:00:00+0530,3.5,3.55,3.45,3.55,194742,0
2024-01-05T00:00:00+0530,3.6,3.6,3.5,3.6,216843,0
2024-01-08T00:00:00+0530,3.65,3.65,3.55,3.65,145358,0
2024-01-09T00:00:00+0530,3.7,3.7,3.7,3.7,42457,0
2024-01-10T00:00:00+0530,3.75,3.75,3.75,3.75,74345,0
2024-01-11T00:00:00+0530,3.8,3.8,3.8,3.8,12374,0
2024-01-12T00:00:00+0530,3.85,3.85,3.85,3.85,40617,0
2024-01-15T00:00:00+0530,3.9,3.9,3.9,3.9,33155,0
2024-01-16T00:00:00+0530,3.95,3.95,3.85,3.9,208947,0
2024-01-17T00:00:00+0530,3.85,3.85,3.85,3.85,95104,0
2024-01-18T00:00:00+0530,3.8,3.9,3.8,3.8,80632,0
2024-01-19T00:00:00+0530,3.8,3.85,3.8,3.85,33245,0
2024-01-20T00:00:00+0530,3.9,3.9,3.85,3.9,66335,0
2024-01-23T00:00:00+0530,3.95,3.95,3.85,3.9,174695,0
2024-01-24T00:00:00+0530,3.9,3.95,3.9,3.9,44690,0
2024-01-25T00:00:00+0530,3.9,3.95,3.85,3.9,54067,0
2024-01-29T00:00:00+0530,3.95,3.95,3.85,3.85,142502,0
2024-01-30T00:00:00+0530,3.9,3.9,3.8,3.85,68565,0
2024-01-31T00:00:00+0530,3.9,3.9,3.8,3.8,140415,0
2024-02-01T00:00:00+0530,3.85,3.85,3.75,3.75,35436,0
2024-02-02T00:00:00+0530,3.75,3.8,3.7,3.8,100953,0
2024-02-05T00:00:00+0530,3.85,3.85,3.75,3.85,119411,0
2024-02-06T00:00:00+0530,3.8,3.9,3.8,3.85,193608,0
2024-02-07T00:00:00+0530,3.9,3.9,3.8,3.8,77159,0
2024-02-08T00:00:00+0530,3.85,3.85,3.75,3.8,108935,0
2024-02-09T00:00:00+0530,3.85,3.85,3.75,3.8,34499,0
2024-02-12T00:00:00+0530,3.8,3.8,3.75,3.75,27984,0
2024-02-13T00:00:00+0530,3.75,3.75,3.7,3.7,12354,0
2024-02-14T00:00:00+0530,3.65,3.7,3.65,3.65,18981,0
2024-02-15T00:00:00+0530,3.65,3.7,3.6,3.65,48668,0
2024-02-16T00:00:00+0530,3.65,3.7,3.6,3.7,157159,0
2024-02-19T00:00:00+0530,3.75,3.75,3.75,3.75,40553,0
2024-02-20T00:00:00+0530,3.8,3.8,3.8,3.8,47272,0
2024-02-21T00:00:00+0530,3.85,3.85,3.75,3.8,88050,0
2024-02-22T00:00:00+0530,3.75,3.75,3.75,3.75,10146,0
2024-02-23T00:00:00+0530,3.75,3.75,3.7,3.75,26300,0
2024-02-26T00:00:00+0530,3.75,3.8,3.7,3.7,84769,0
2024-02-27T00:00:00+0530,3.65,3.7,3.65,3.65,66285,0
2024-02-28T00:00:00+0530,3.7,3.7,3.6,3.6,23805,0
2024-02-29T00:00:00+0530,3.65,3.65,3.55,3.55,32774,0
2024-03-01T00:00:00+0530,3.6,3.6,3.5,3.5,26093,0
2024-03-02T00:00:00+0530,3.5,3.55,3.5,3.55,3563,0
2024-03-04T00:00:00+0530,3.6,3.6,3.5,3.55,29023,0
2024-03-05T00:00:00+0530,3.55,3.6,3.5,3.5,56768,0
