date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,67,68.3,66.55,67.6,89740,0
2023-01-03T00:00:00+0530,67.95,71.2,67.45,68.85,269337,0
2023-01-04T00:00:00+0530,69.5,69.5,66.95,67.3,93358,0
2023-01-05T00:00:00+0530,67.35,68.3,66.2,67.1,113056,0
2023-01-06T00:00:00+0530,67.8,67.8,66.1,66.8,74324,0
2023-01-09T00:00:00+0530,67.1,68.4,67.1,67.75,69118,0
2023-01-10T00:00:00+0530,68.65,68.65,66.7,67.2,30020,0
2023-01-11T00:00:00+0530,67.7,68.5,67,67.6,64114,0
2023-01-12T00:00:00+0530,67.95,68,66.05,66.6,76789,0
2023-01-13T00:00:00+0530,67.35,69.25,66.9,68.6,156985,0
2023-01-16T00:00:00+0530,68.6,68.9,67.6,67.9,42165,0
2023-01-17T00:00:00+0530,67.55,68.5,66.35,66.7,71915,0
2023-01-18T00:00:00+0530,67.35,67.35,66.4,66.8,51261,0
2023-01-19T00:00:00+0530,66.9,70.1,66.45,66.95,242112,0
2023-01-20T00:00:00+0530,67,67.55,66.7,66.75,54301,0
2023-01-23T00:00:00+0530,67.1,67.25,66.25,66.4,39244,0
2023-01-24T00:00:00+0530,67.45,68.35,66.25,66.4,116049,0
2023-01-25T00:00:00+0530,66.6,66.6,65.05,65.45,75684,0
2023-01-27T00:00:00+0530,65.45,66,61.4,62.35,150319,0
2023-01-30T00:00:00+0530,62.9,64.15,61.6,62.35,108266,0
2023-01-31T00:00:00+0530,63.1,64.4,61.95,64,71324,0
2023-02-01T00:00:00+0530,64.9,65.3,61.05,62.3,92040,0
2023-02-02T00:00:00+0530,62,62.95,60.95,61.6,115609,0
2023-02-03T00:00:00+0530,61.55,62.8,60,61.5,129449,0
2023-02-06T00:00:00+0530,61.1,64.8,61,63.55,106567,0
2023-02-07T00:00:00+0530,63.95,64.1,61.55,61.95,71912,0
2023-02-08T00:00:00+0530,62.3,64.95,62.05,64.35,112749,0
2023-02-09T00:00:00+0530,64.8,64.8,63.3,63.55,41657,0
2023-02-10T00:00:00+0530,63.75,64.55,63.05,63.85,78499,0
2023-02-13T00:00:00+0530,61.85,62.95,60.8,61.3,92368,0
