date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,20.05,20.35,19.65,19.85,433533,0
2023-01-03T00:00:00+0530,20,20,19.15,19.25,760174,0
2023-01-04T00:00:00+0530,19.45,19.95,18.8,19.45,417140,0
2023-01-05T00:00:00+0530,19.3,19.5,18.7,19.05,321710,0
2023-01-06T00:00:00+0530,19.2,19.55,18.95,19.1,264025,0
2023-01-09T00:00:00+0530,19.35,19.35,18.8,18.95,223372,0
2023-01-10T00:00:00+0530,19.1,20.25,18.3,19.4,885626,0
2023-01-11T00:00:00+0530,19.8,20.25,19.3,19.55,429777,0
2023-01-12T00:00:00+0530,19.35,19.85,19.35,19.6,385283,0
2023-01-13T00:00:00+0530,19.45,19.8,19.25,19.35,170453,0
2023-01-16T00:00:00+0530,19.5,19.5,18.55,18.75,344664,0
2023-01-17T00:00:00+0530,19.2,19.35,18.55,18.75,428807,0
2023-01-18T00:00:00+0530,18.95,19.85,18.1,19.15,1268060,0
2023-01-19T00:00:00+0530,19.15,19.6,18.7,18.9,238680,0
2023-01-20T00:00:00+0530,18.95,19.1,18.2,18.4,221147,0
2023-01-23T00:00:00+0530,18.75,18.75,18,18.25,258583,0
2023-01-24T00:00:00+0530,18.3,18.55,17.9,18.05,155780,0
2023-01-25T00:00:00+0530,18.05,18.3,16.95,17.4,303604,0
2023-01-27T00:00:00+0530,17.4,17.65,16.2,16.65,412840,0
2023-01-30T00:00:00+0530,16.55,16.85,15.7,15.95,492711,0
2023-01-31T00:00:00+0530,16.05,17.75,15.8,17.05,609586,0
2023-02-01T00:00:00+0530,17.4,17.9,15.95,16.4,491069,0
2023-02-02T00:00:00+0530,16,16.5,15.1,15.5,472974,0
2023-02-03T00:00:00+0530,15.85,15.85,14.9,15.2,340582,0
2023-02-06T00:00:00+0530,15.4,15.65,14.85,15.3,241584,0
2023-02-07T00:00:00+0530,15.1,15.5,14.85,15.2,201791,0
2023-02-08T00:00:00+0530,15.2,15.7,15.05,15.45,308203,0
2023-02-09T00:00:00+0530,15.7,15.7,15.1,15.25,170484,0
2023-02-10T00:00:00+0530,15.45,16.4,15.25,15.8,337207,0
2023-02-13T00:00:00+0530,15.8,15.9,14.9,15.05,186785,0
2023-02-14T00:00:00+0530,15.2,15.2,14.5,14.6,257665,0
2023-02-15T00:00:00+0530,14.5,14.9,14.3,14.6,153176,0
2023-02-16T00:00:00+0530,14.4,14.85,14.3,14.4,128018,0
2023-02-17T00:00:00+0530,14.2,14.45,13.65,13.8,315095,0
2023-02-20T00:00:00+0530,13.8,13.8,13.1,13.3,268893,0
2023-02-21T00:00:00+0530,13.6,13.65,13.05,13.15,143329,0
2023-02-22T00:00:00+0530,13.25,13.3,12.9,12.95,169633,0
2023-02-23T00:00:00+0530,13,13.05,12.25,12.45,180459,0
2023-02-24T00:00:00+0530,12.5,13.1,12.35,12.7,258017,0
2023-02-27T00:00:00+0530,12.95,13.05,12.3,12.6,125766,0
2023-02-28T00:00:00+0530,12.95,12.95,12.05,12.4,102523,0
2023-03-01T00:00:00+0530,12.8,13.4,12.15,13.1,187805,0
2023-03-02T00:00:00+0530,13.35,13.75,12.8,12.9,153883,0
2023-03-03T00:00:00+0530,13.35,13.35,12.2,12.85,258634,0
2023-03-06T00:00:00+0530,12.8,13.45,12.3,13.1,218030,0
2023-03-08T00:00:00+0530,13.15,14.4,12.9,14.05,383909,0
2023-03-09T00:00:00+0530,14.2,14.95,14.2,14.35,237084,0
2023-03-10T00:00:00+0530,14.35,14.35,13.85,13.95,212910,0
2023-03-13T00:00:00+0530,14,14.2,12.95,13,214133,0
2023-03-14T00:00:00+0530,13.2,13.3,12.55,12.85,172069,0
2023-03-15T00:00:00+0530,12.95,13.1,12.75,12.85,83212,0
2023-03-16T00:00:00+0530,12.95,12.95,12.1,12.2,206719,0
2023-03-17T00:00:00+0530,12.5,12.65,12.1,12.25,158104,0
2023-03-20T00:00:00+0530,11.55,12.5,11.55,11.75,171960,0
2023-03-21T00:00:00+0530,11.9,12.2,11.55,12.05,203402,0
2023-03-22T00:00:00+0530,12.35,12.55,11.15,11.95,100110,0
2023-03-23T00:00:00+0530,12.05,12.1,11.65,11.75,105013,0
2023-03-24T00:00:00+0530,11.8,12,11.45,11.55,144526,0
2023-03-27T00:00:00+0530,11.7,11.7,10.05,10.25,506133,0
2023-03-28T00:00:00+0530,10.55,10.55,9.35,9.5,344292,0
2023-03-29T00:00:00+0530,9.5,11.35,9.5,10.4,602557,0
2023-03-31T00:00:00+0530,10.4,10.75,9.55,10,473851,0
2023-04-03T00:00:00+0530,10.05,12,10.05,11.9,608306,0
2023-04-05T00:00:00+0530,12.5,14.25,12.25,14.25,1305793,0
2023-04-06T00:00:00+0530,14.6,16.7,14.35,15.85,1979002,0
2023-04-10T00:00:00+0530,15.5,15.95,14.4,14.7,912437,0
2023-04-11T00:00:00+0530,14.95,15.8,14.9,15.25,304059,0
2023-04-12T00:00:00+0530,15.25,15.45,14.4,14.5,219932,0
2023-04-13T00:00:00+0530,14.75,15.2,14.05,14.25,252950,0
2023-04-17T00:00:00+0530,14.25,14.6,13.7,13.8,236642,0
2023-04-18T00:00:00+0530,13.9,14.95,13.9,14.6,503972,0
2023-04-19T00:00:00+0530,14.9,15.5,14.3,14.8,317762,0
2023-04-20T00:00:00+0530,14.85,14.85,14.2,14.45,162255,0
2023-04-21T00:00:00+0530,14.9,14.9,14.05,14.25,159711,0
2023-04-24T00:00:00+0530,14.25,14.75,14.1,14.3,202102,0
2023-04-25T00:00:00+0530,14.3,14.3,13.95,14,127167,0
2023-04-26T00:00:00+0530,14,14.15,13.9,14,77966,0
2023-04-27T00:00:00+0530,13.95,14.85,13.9,14.65,205812,0
2023-04-28T00:00:00+0530,14.6,15,14.35,14.75,254847,0
2023-05-02T00:00:00+0530,14.7,15.2,14.4,14.8,320101,0
2023-05-03T00:00:00+0530,14.95,15,14.55,14.7,130949,0
2023-05-04T00:00:00+0530,14.5,15.25,14.5,14.6,96151,0
2023-05-05T00:00:00+0530,14.55,14.8,14.1,14.35,175895,0
2023-05-08T00:00:00+0530,14.35,14.6,13.8,14.05,193649,0
2023-05-09T00:00:00+0530,14.1,14.35,13.6,13.7,201517,0
2023-05-10T00:00:00+0530,14.05,14.2,13.2,13.35,264726,0
2023-05-11T00:00:00+0530,13.7,13.75,12.75,13.1,296756,0
2023-05-12T00:00:00+0530,13.25,13.25,12.65,12.75,433724,0
2023-05-15T00:00:00+0530,12.8,13,12.6,12.65,110006,0
2023-05-16T00:00:00+0530,13,13.3,12.25,12.35,318642,0
2023-05-17T00:00:00+0530,12.6,12.65,12.2,12.3,176512,0
2023-05-18T00:00:00+0530,12.5,12.65,11.8,11.85,391203,0
2023-05-19T00:00:00+0530,11.85,12.3,11.4,11.5,253303,0
2023-05-22T00:00:00+0530,11.95,11.95,11.15,11.4,257085,0
2023-05-23T00:00:00+0530,11.3,11.9,11.1,11.35,171198,0
2023-05-24T00:00:00+0530,11.3,11.65,11.25,11.35,189780,0
2023-05-25T00:00:00+0530,11.4,11.5,11.1,11.35,106478,0
2023-05-26T00:00:00+0530,11.5,11.5,10.9,11,288082,0
