date,open,high,low,close,volume,empty
2023-01-02T00:00:00+0530,5.6,5.7,5.35,5.55,417066,0
2023-01-03T00:00:00+0530,5.65,5.7,5.55,5.55,296007,0
2023-01-04T00:00:00+0530,5.8,5.8,5.55,5.7,345112,0
2023-01-05T00:00:00+0530,5.8,5.8,5.6,5.75,299869,0
2023-01-06T00:00:00+0530,5.75,5.8,5.6,5.7,380576,0
2023-01-09T00:00:00+0530,5.85,5.85,5.6,5.7,188845,0
2023-01-10T00:00:00+0530,5.85,5.85,4.6,5.4,382731,0
2023-01-11T00:00:00+0530,5.25,5.55,5.25,5.45,76126,0
2023-01-12T00:00:00+0530,5.75,5.75,5.25,5.5,219583,0
2023-01-13T00:00:00+0530,5.65,5.65,5.35,5.55,92087,0
2023-01-16T00:00:00+0530,5.8,5.8,5.5,5.55,193353,0
2023-01-17T00:00:00+0530,5.7,5.7,5.35,5.55,226707,0
2023-01-18T00:00:00+0530,5.35,5.6,5.35,5.45,145534,0
2023-01-19T00:00:00+0530,5.45,5.5,5.35,5.4,125190,0
2023-01-20T00:00:00+0530,5.35,5.5,5.35,5.4,166521,0
2023-01-23T00:00:00+0530,5.45,5.45,5.3,5.4,90679,0
2023-01-24T00:00:00+0530,5.3,5.45,5.3,5.3,82872,0
2023-01-25T00:00:00+0530,5.45,5.45,4.95,5.05,435156,0
2023-01-27T00:00:00+0530,5.15,5.15,4.85,4.95,234352,0
2023-01-30T00:00:00+0530,5,5.1,4.85,5.1,200142,0
2023-01-31T00:00:00+0530,5.2,5.2,5.1,5.1,129277,0
2023-02-01T00:00:00+0530,5.2,5.2,4.95,5,106801,0
2023-02-02T00:00:00+0530,5.1,5.1,4.95,5.05,96065,0
2023-02-03T00:00:00+0530,5.1,5.1,4.9,4.95,130513,0
2023-02-06T00:00:00+0530,5.05,5.05,4.85,4.95,142766,0
2023-02-07T00:00:00+0530,5.05,5.05,4.8,4.85,115482,0
2023-02-08T00:00:00+0530,4.95,5,4.7,4.8,205365,0
2023-02-09T00:00:00+0530,4.9,4.9,4.65,4.75,207569,0
2023-02-10T00:00:00+0530,4.75,4.75,4.25,4.45,567475,0
2023-02-13T00:00:00+0530,4.35,5.25,4.35,5.1,1250043,0
2023-02-14T00:00:00+0530,5.25,5.7,5.2,5.35,1109080,0
2023-02-15T00:00:00+0530,5.5,5.5,4.7,4.8,989898,0
2023-02-16T00:00:00+0530,5,5,4.65,4.75,619873,0
2023-02-17T00:00:00+0530,4.6,4.75,4.6,4.7,181810,0
2023-02-20T00:00:00+0530,4.75,4.75,4.6,4.65,152587,0
